source,dataset,task,model,total,contrast,family,lower,upper,estimate,contained_0.005,contained_0.01,contained_0.02,contains_zero,spans_both_meaningful_directions
outputs/class_matched_scaling/class_matched_effects_all.csv,apt,coarse,logistic_regression,3200,8-32,primary,-0.0080096666245212,0.02205993634339,0.0061695974041241,False,False,False,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,apt,fine,logistic_regression,3200,8-32,primary,-0.0076961893740307,0.0029177860813259,-0.0024486338327109,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,apt,coarse,logistic_regression,6400,8-32,primary,-0.0070330888885498,0.0264533346391827,0.007814836258779,False,False,False,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,apt,fine,logistic_regression,6400,8-32,primary,-0.0105300391167465,0.0009063441535894,-0.0049613565273521,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,apt,coarse,xgboost,6400,8-32,primary,-0.0130371350112308,0.026464708369887,0.0083045352989258,False,False,False,True,True
outputs/class_matched_scaling/class_matched_effects_all.csv,apt,fine,xgboost,6400,8-32,primary,-0.0143042464789818,0.002674663118614,-0.0058095488156877,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,combat_rna,coarse,logistic_regression,3200,8-32,primary,-0.0036113076493999,0.0084198735703085,0.0010637446918192,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,combat_rna,fine,logistic_regression,3200,8-32,primary,-0.0088317150806593,0.0091935714626217,-0.0006674011422207,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,combat_rna,coarse,logistic_regression,6400,8-32,primary,-0.0054531404048446,0.0044893339105861,1.008421805740456e-05,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,combat_rna,fine,logistic_regression,6400,8-32,primary,-0.0113516998503758,0.004251323262486,-0.0028050216003232,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,combat_rna,coarse,xgboost,6400,8-32,primary,-0.0054094885084734,0.0087725404797828,0.0010638309257653,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,combat_rna,fine,xgboost,6400,8-32,primary,-0.009626705411993,0.00663753494114,-0.0027125485103053,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,onek1k,coarse,logistic_regression,3200,8-32,primary,-0.0078951055615644,0.0119843579900874,0.0025451905489079,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,onek1k,fine,logistic_regression,3200,8-32,primary,-0.0079872004960762,0.0104723049654646,0.001933381180943,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,onek1k,coarse,logistic_regression,6400,8-32,primary,-0.0058616295710797,0.0128118923287807,0.0032601932562838,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,onek1k,fine,logistic_regression,6400,8-32,primary,-0.0058249035861247,0.008883238724996,0.0013095641135617,False,True,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,onek1k,coarse,xgboost,6400,8-32,primary,-0.0061085451391765,0.0138891386014943,-0.0011089820904597,False,False,True,True,False
outputs/class_matched_scaling/class_matched_effects_all.csv,onek1k,fine,xgboost,6400,8-32,primary,-0.0117303603171457,0.0097558187343386,-0.0005976547005298,False,False,True,True,False
outputs/class_matched_subject_frontier/combat_rna/frontier_effects.csv,combat_rna,coarse,logistic_regression,3200,32-64,frontier,-0.0020497711436809536,0.002517229789414495,0.00011553470692916567,True,True,True,True,False
outputs/class_matched_subject_frontier/combat_rna/frontier_effects.csv,combat_rna,fine,logistic_regression,3200,32-64,frontier,-0.005957652635880191,0.0026480854143330957,-0.0004925503581985624,False,True,True,True,False
outputs/class_matched_subject_frontier/combat_rna/frontier_effects.csv,combat_rna,coarse,logistic_regression,6400,32-64,frontier,-0.0014139474731895251,0.0016333435345971003,0.00017881809636219881,True,True,True,True,False
outputs/class_matched_subject_frontier/combat_rna/frontier_effects.csv,combat_rna,fine,logistic_regression,6400,32-64,frontier,-0.005953097185077217,0.0040209142498037285,-0.0006477237464410423,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,coarse,logistic_regression,3200,32-64,frontier,-0.011125728374909683,0.0051696025517579056,-0.0005416004854435497,False,False,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,coarse,logistic_regression,3200,64-128,frontier,-0.002341328144409127,0.006784737529635182,0.0012309524036663634,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,coarse,logistic_regression,3200,32-128,frontier,-0.009648656529516603,0.005674486827234366,0.0006893519182228136,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,fine,logistic_regression,3200,32-64,frontier,-0.00603323631300422,0.005259915919031976,-0.000513153017585366,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,fine,logistic_regression,3200,64-128,frontier,-0.0038922519882400087,0.00500874690201613,0.000418176456051822,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,fine,logistic_regression,3200,32-128,frontier,-0.004995702619376999,0.0069676778882097595,-9.497656153354406e-05,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,coarse,logistic_regression,6400,32-64,frontier,-0.004597820029302538,0.004592027268076729,0.0012347584782704478,True,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,coarse,logistic_regression,6400,64-128,frontier,-0.004180799082242448,0.0043205596664812355,0.0006829386851857078,True,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,coarse,logistic_regression,6400,32-128,frontier,-0.002621455517729937,0.00785632593079284,0.0019176971634561556,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,fine,logistic_regression,6400,32-64,frontier,-0.009643799751866846,0.006273886131731764,0.0002194667894601321,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,fine,logistic_regression,6400,64-128,frontier,-0.0065944793239664234,0.0068037110356291034,0.001176225120865093,False,True,True,True,False
outputs/class_matched_subject_frontier/onek1k/frontier_effects.csv,onek1k,fine,logistic_regression,6400,32-128,frontier,-0.006688284091114674,0.007813737564730727,0.0013956919103252253,False,True,True,True,False
