donor_id,pool,sex,n_valid_cells
1_1,64,female,1165
2_2,64,female,1205
3_3,65,female,874
4_4,65,female,1433
6_6,67,female,1455
7_7,67,female,1258
8_8,67,male,866
9_9,68,female,1049
10_10,68,female,849
11_11,68,male,889
12_12,70,female,1799
13_13,70,female,1259
15_15,71,female,1107
16_16,71,female,1382
17_17,71,male,1348
18_18,71,female,977
19_19,71,female,1317
23_23,71,male,999
24_24,72,male,1187
25_25,59,male,1201
27_27,59,female,1280
28_28,59,female,1075
29_29,64,female,1292
30_30,64,male,1293
33_33,64,female,1184
35_35,64,female,818
36_36,64,male,973
37_37,64,female,949
38_38,64,male,1002
39_39,54,female,1368
40_40,54,female,1119
41_41,54,male,1211
42_42,54,female,1511
43_43,54,female,1655
46_46,59,male,996
47_47,55,female,1345
48_48,55,female,1312
49_49,55,male,1349
50_50,55,male,807
51_51,55,female,1277
52_52,53,female,1410
53_53,55,female,1498
54_54,56,female,1443
55_55,56,female,1296
56_56,56,female,997
57_57,55,male,1254
58_58,55,male,1149
60_60,56,female,1353
61_61,56,male,1356
63_63,56,female,1480
64_64,56,male,1462
65_65,62,male,1028
66_66,62,female,1212
69_69,62,female,835
70_70,57,male,1301
71_71,57,female,896
72_72,57,male,963
75_75,55,female,1111
77_77,61,male,1375
78_78,61,male,1173
79_79,61,female,1044
81_81,61,female,1955
82_82,61,male,1351
83_83,61,female,1001
84_84,57,male,1304
85_85,57,male,1333
86_86,57,male,1321
88_88,57,male,1331
89_89,55,male,997
90_90,55,female,970
91_91,55,male,1396
92_92,55,male,1120
93_93,55,male,1198
95_95,56,male,1128
96_96,56,male,1426
97_97,56,male,2029
98_98,39,female,1507
99_99,41,female,1477
101_101,41,female,1401
102_102,41,female,1462
104_104,42,female,1070
105_105,42,female,2090
106_106,46,male,1395
107_107,46,male,910
108_108,46,female,1038
109_109,46,male,1759
110_110,46,female,1373
111_111,46,female,1542
112_112,44,female,1377
113_113,54,male,1406
114_114,46,female,1523
116_116,46,female,1278
117_117,46,male,1028
119_119,63,male,1179
120_120,63,male,851
121_121,63,male,1080
122_122,63,female,960
