scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,coarse,0.9747393709831567,0.815480431520918,0.05734528787434101,0.11889196932315826,0.8410762669205611,5,5,800,228102,1948.78515625
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,fine,0.6650226652988576,0.33828718962397875,0.20131972897797823,0.2767602205276489,0.35391049871385477,30,23,800,228102,1948.78515625
outer_fold,fold0_seed00_P8_C100_xgboost,0,0,8,100,xgboost,coarse,0.9783517899886893,0.7784651048618891,16.47507267165929,3.248512358404696,0.7788378137597816,5,5,800,228102,1948.4453125
outer_fold,fold0_seed00_P8_C100_xgboost,0,0,8,100,xgboost,fine,0.7085207494892636,0.3010469790552149,4.864857455715537,18.03802132140845,0.30777769543184974,30,23,800,228102,1948.4453125
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,coarse,0.9675846770304513,0.8239762864528618,0.05038726609200239,0.11882249172776937,0.8429997494893954,5,5,800,228102,1951.5625
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,fine,0.6612699581766052,0.29474382768767043,0.15531805995851755,0.14884829800575972,0.298581648383336,30,20,800,228102,1951.5625
outer_fold,fold0_seed01_P8_C100_xgboost,0,1,8,100,xgboost,coarse,0.9690664702633033,0.7728114768043061,16.47057703975588,3.180889624170959,0.7721442676480471,5,5,800,228102,1951.5
outer_fold,fold0_seed01_P8_C100_xgboost,0,1,8,100,xgboost,fine,0.693391552901772,0.274556537533403,4.282239040359855,15.44302434194833,0.26837148026841456,30,20,800,228102,1951.5
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,coarse,0.9736170660493989,0.9225172680901815,0.05592679604887962,0.11890655104070902,0.9141583725186566,5,5,800,228102,1951.703125
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,fine,0.6647640090836555,0.36045224649727425,0.19826060067862272,0.16162934061139822,0.3777179548720336,30,22,800,228102,1951.703125
outer_fold,fold0_seed02_P8_C100_xgboost,0,2,8,100,xgboost,coarse,0.9783780940105742,0.8206289240289687,17.358668624423444,3.158479092642665,0.8515526076876629,5,5,800,228102,1951.60546875
outer_fold,fold0_seed02_P8_C100_xgboost,0,2,8,100,xgboost,fine,0.706613707902605,0.31682695780502446,5.17692091409117,16.57450873963535,0.3272989091566311,30,22,800,228102,1951.60546875
outer_fold,fold0_seed03_P8_C100_logistic_regression,0,3,8,100,logistic_regression,coarse,0.9752259953880281,0.8696990730557923,0.059048812836408615,0.10317608714103699,0.8872549764922084,5,5,800,228102,1951.28125
outer_fold,fold0_seed03_P8_C100_logistic_regression,0,3,8,100,logistic_regression,fine,0.6472192264863964,0.3771184342873416,0.21334170643240213,0.16924563236534595,0.39793755043556456,30,25,800,228102,1951.28125
outer_fold,fold0_seed03_P8_C100_xgboost,0,3,8,100,xgboost,coarse,0.9776284293868532,0.7898724390427763,17.90428084600717,3.274149584583938,0.8020907566504978,5,5,800,228102,1950.796875
outer_fold,fold0_seed03_P8_C100_xgboost,0,3,8,100,xgboost,fine,0.70171239182471,0.31727828299634797,5.229009693488479,19.45728703495115,0.3248330924191215,30,25,800,228102,1950.796875
outer_fold,fold0_seed04_P8_C100_logistic_regression,0,4,8,100,logistic_regression,coarse,0.9728191773855556,0.8700374263682145,0.05916152149438858,0.16667989548295736,0.8587493627214695,5,5,800,228102,1952.1640625
outer_fold,fold0_seed04_P8_C100_logistic_regression,0,4,8,100,logistic_regression,fine,0.6458338813337893,0.3778227905824521,0.21379138994961977,0.20888268109411,0.3803446316611797,30,25,800,228102,1952.1640625
outer_fold,fold0_seed04_P8_C100_xgboost,0,4,8,100,xgboost,coarse,0.9760501880737564,0.8043637804474901,17.462130225263536,3.183587129227817,0.823695815830644,5,5,800,228102,1952.3125
outer_fold,fold0_seed04_P8_C100_xgboost,0,4,8,100,xgboost,fine,0.6958948189844893,0.28095135218195266,5.052576121874154,19.407091023400426,0.28797310212728583,30,25,800,228102,1952.3125
outer_fold,fold0_seed05_P8_C100_logistic_regression,0,5,8,100,logistic_regression,coarse,0.9752610674172081,0.8198837675914271,0.05029031541198492,0.10173258930444717,0.8497379755209611,5,5,800,228102,1951.97265625
outer_fold,fold0_seed05_P8_C100_logistic_regression,0,5,8,100,logistic_regression,fine,0.6533612155965314,0.3366544860117223,0.19561759196221828,0.1552245169878006,0.3597399021792048,30,24,800,228102,1951.97265625
