seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
0,8,100,logistic_regression,coarse,0.9737283529031204,0.8269714228621791,0.8099668425790144,0.9733425987149205,0.827649074048572,0.8104242955490614,0.8044369929305788,0.6517906271780489,0.8163339914028552,0.7503626607796123,4.8,4,5,925,1199468
0,8,100,logistic_regression,fine,0.6589396299025901,0.37936352600988715,0.3497544826589091,0.6604013579549027,0.379400150276151,0.34981209198425833,0.3026408837475054,0.6517906271780489,0.8163339914028552,0.7503626607796123,22.8,20,5,925,1199468
0,8,100,xgboost,coarse,0.9778168321289105,0.7831255697852623,0.7803020635969011,0.9774618448400244,0.7831291048250593,0.7801981059576883,0.7756409714945653,0.6993942314426063,0.8414251151343762,0.6477538375346403,4.8,4,5,925,1199468
0,8,100,xgboost,fine,0.705033398139842,0.2942321366316299,0.2853007669249035,0.7067311890929382,0.29412003073191284,0.2849100562854658,0.2616856535055332,0.6993942314426063,0.8414251151343762,0.6477538375346403,22.8,20,5,925,1199468
1,8,100,logistic_regression,coarse,0.9717516432284979,0.857573690214816,0.8365077151179374,0.9713419943483979,0.8582594539697022,0.8373992616338883,0.827251634948288,0.6416761430901032,0.8105118269099301,0.7725124805330363,5.0,5,5,925,1199468
1,8,100,logistic_regression,fine,0.6492720105913622,0.3763723619858267,0.3382946158583616,0.6505015689212427,0.3767911728569789,0.3387333887409951,0.3001518602670497,0.6416761430901032,0.8105118269099301,0.7725124805330363,22.8,20,5,925,1199468
1,8,100,xgboost,coarse,0.9738842553532066,0.7947659973907636,0.7804363867065618,0.9735001599620693,0.794893902746928,0.7803399952644223,0.7814048988274225,0.6955316857139999,0.8378143476941444,0.6655550627444834,5.0,5,5,925,1199468
1,8,100,xgboost,fine,0.7017444400350822,0.29862123411543645,0.2856782068386539,0.7032028852986612,0.2985783984483386,0.2856079341428185,0.2629096565114462,0.6955316857139999,0.8378143476941444,0.6655550627444834,22.8,20,5,925,1199468
2,8,100,logistic_regression,coarse,0.9748680248243388,0.8686240070392609,0.8516065155987425,0.9743219851667626,0.8677944779493831,0.8510686112041247,0.8334431201769031,0.6428249857436797,0.8116023103575919,0.7753870882758023,4.8,4,5,925,1199468
2,8,100,logistic_regression,fine,0.6483365958908449,0.3919971814178154,0.3509217760968408,0.6494942055843713,0.39167186278308613,0.3506513720828238,0.3135531511727634,0.6428249857436797,0.8116023103575919,0.7753870882758023,23.4,22,5,925,1199468
