job_id,outer_fold,seed,patient_budget,cell_cap,model,task,start_time,end_time,exit_status,log_path,output_path,error
fold0_seed00_P8_C100_logistic_regression_coarse,0,0,8,100,logistic_regression,coarse,2026-09-09T03:31:45.101277+00:00,2026-09-09T03:32:12.385712+00:00,success,outputs/onek1k_scaling/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_logistic_regression_fine,0,0,8,100,logistic_regression,fine,2026-09-09T03:31:45.101277+00:00,2026-09-09T03:32:12.385712+00:00,success,outputs/onek1k_scaling/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_xgboost_coarse,0,0,8,100,xgboost,coarse,2026-09-09T03:31:45.102863+00:00,2026-09-09T03:32:55.719122+00:00,success,outputs/onek1k_scaling/logs/fold0_seed00_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed00_P8_C100_xgboost.npz,
fold0_seed00_P8_C100_xgboost_fine,0,0,8,100,xgboost,fine,2026-09-09T03:31:45.102863+00:00,2026-09-09T03:32:55.719122+00:00,success,outputs/onek1k_scaling/logs/fold0_seed00_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed00_P8_C100_xgboost.npz,
fold0_seed01_P8_C100_logistic_regression_coarse,0,1,8,100,logistic_regression,coarse,2026-09-09T03:31:45.080324+00:00,2026-09-09T03:32:12.262616+00:00,success,outputs/onek1k_scaling/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_logistic_regression_fine,0,1,8,100,logistic_regression,fine,2026-09-09T03:31:45.080324+00:00,2026-09-09T03:32:12.262616+00:00,success,outputs/onek1k_scaling/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_xgboost_coarse,0,1,8,100,xgboost,coarse,2026-09-09T03:31:45.047855+00:00,2026-09-09T03:32:52.553536+00:00,success,outputs/onek1k_scaling/logs/fold0_seed01_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed01_P8_C100_xgboost.npz,
fold0_seed01_P8_C100_xgboost_fine,0,1,8,100,xgboost,fine,2026-09-09T03:31:45.047855+00:00,2026-09-09T03:32:52.553536+00:00,success,outputs/onek1k_scaling/logs/fold0_seed01_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed01_P8_C100_xgboost.npz,
fold0_seed02_P8_C100_logistic_regression_coarse,0,2,8,100,logistic_regression,coarse,2026-09-09T03:31:45.135162+00:00,2026-09-09T03:32:12.323503+00:00,success,outputs/onek1k_scaling/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_logistic_regression_fine,0,2,8,100,logistic_regression,fine,2026-09-09T03:31:45.135162+00:00,2026-09-09T03:32:12.323503+00:00,success,outputs/onek1k_scaling/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_xgboost_coarse,0,2,8,100,xgboost,coarse,2026-09-09T03:31:45.105279+00:00,2026-09-09T03:32:54.411534+00:00,success,outputs/onek1k_scaling/logs/fold0_seed02_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed02_P8_C100_xgboost.npz,
fold0_seed02_P8_C100_xgboost_fine,0,2,8,100,xgboost,fine,2026-09-09T03:31:45.105279+00:00,2026-09-09T03:32:54.411534+00:00,success,outputs/onek1k_scaling/logs/fold0_seed02_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed02_P8_C100_xgboost.npz,
fold0_seed03_P8_C100_logistic_regression_coarse,0,3,8,100,logistic_regression,coarse,2026-09-09T03:31:45.107782+00:00,2026-09-09T03:32:13.030625+00:00,success,outputs/onek1k_scaling/logs/fold0_seed03_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed03_P8_C100_logistic_regression.npz,
fold0_seed03_P8_C100_logistic_regression_fine,0,3,8,100,logistic_regression,fine,2026-09-09T03:31:45.107782+00:00,2026-09-09T03:32:13.030625+00:00,success,outputs/onek1k_scaling/logs/fold0_seed03_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed03_P8_C100_logistic_regression.npz,
fold0_seed03_P8_C100_xgboost_coarse,0,3,8,100,xgboost,coarse,2026-09-09T03:31:45.066343+00:00,2026-09-09T03:32:57.502104+00:00,success,outputs/onek1k_scaling/logs/fold0_seed03_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed03_P8_C100_xgboost.npz,
fold0_seed03_P8_C100_xgboost_fine,0,3,8,100,xgboost,fine,2026-09-09T03:31:45.066343+00:00,2026-09-09T03:32:57.502104+00:00,success,outputs/onek1k_scaling/logs/fold0_seed03_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed03_P8_C100_xgboost.npz,
fold0_seed04_P8_C100_logistic_regression_coarse,0,4,8,100,logistic_regression,coarse,2026-09-09T03:31:45.083344+00:00,2026-09-09T03:32:13.203008+00:00,success,outputs/onek1k_scaling/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_logistic_regression_fine,0,4,8,100,logistic_regression,fine,2026-09-09T03:31:45.083344+00:00,2026-09-09T03:32:13.203008+00:00,success,outputs/onek1k_scaling/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_xgboost_coarse,0,4,8,100,xgboost,coarse,2026-09-09T03:31:45.070102+00:00,2026-09-09T03:32:57.140199+00:00,success,outputs/onek1k_scaling/logs/fold0_seed04_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed04_P8_C100_xgboost.npz,
fold0_seed04_P8_C100_xgboost_fine,0,4,8,100,xgboost,fine,2026-09-09T03:31:45.070102+00:00,2026-09-09T03:32:57.140199+00:00,success,outputs/onek1k_scaling/logs/fold0_seed04_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed04_P8_C100_xgboost.npz,
fold0_seed05_P8_C100_logistic_regression_coarse,0,5,8,100,logistic_regression,coarse,2026-09-09T03:31:45.035156+00:00,2026-09-09T03:32:13.004143+00:00,success,outputs/onek1k_scaling/logs/fold0_seed05_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed05_P8_C100_logistic_regression.npz,
fold0_seed05_P8_C100_logistic_regression_fine,0,5,8,100,logistic_regression,fine,2026-09-09T03:31:45.035156+00:00,2026-09-09T03:32:13.004143+00:00,success,outputs/onek1k_scaling/logs/fold0_seed05_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed05_P8_C100_logistic_regression.npz,
fold0_seed05_P8_C100_xgboost_coarse,0,5,8,100,xgboost,coarse,2026-09-09T03:31:45.033148+00:00,2026-09-09T03:32:55.329437+00:00,success,outputs/onek1k_scaling/logs/fold0_seed05_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed05_P8_C100_xgboost.npz,
fold0_seed05_P8_C100_xgboost_fine,0,5,8,100,xgboost,fine,2026-09-09T03:31:45.033148+00:00,2026-09-09T03:32:55.329437+00:00,success,outputs/onek1k_scaling/logs/fold0_seed05_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed05_P8_C100_xgboost.npz,
fold0_seed06_P8_C100_logistic_regression_coarse,0,6,8,100,logistic_regression,coarse,2026-09-09T03:31:45.072190+00:00,2026-09-09T03:32:12.999792+00:00,success,outputs/onek1k_scaling/logs/fold0_seed06_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed06_P8_C100_logistic_regression.npz,
fold0_seed06_P8_C100_logistic_regression_fine,0,6,8,100,logistic_regression,fine,2026-09-09T03:31:45.072190+00:00,2026-09-09T03:32:12.999792+00:00,success,outputs/onek1k_scaling/logs/fold0_seed06_P8_C100_logistic_regression.log,outputs/onek1k_scaling/runs/fold0_seed06_P8_C100_logistic_regression.npz,
fold0_seed06_P8_C100_xgboost_coarse,0,6,8,100,xgboost,coarse,2026-09-09T03:31:45.073971+00:00,2026-09-09T03:32:54.656291+00:00,success,outputs/onek1k_scaling/logs/fold0_seed06_P8_C100_xgboost.log,outputs/onek1k_scaling/runs/fold0_seed06_P8_C100_xgboost.npz,
