outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,0,8,100,coarse,0,B,8,90,True
0,0,8,100,coarse,1,Myeloid,7,51,True
0,0,8,100,coarse,2,NK,8,137,True
0,0,8,100,coarse,3,Other,1,1,True
0,0,8,100,coarse,4,T,8,521,True
0,0,8,100,fine,0,ASDC,0,0,False
0,0,8,100,fine,1,B intermediate,5,20,True
0,0,8,100,fine,2,B memory,6,21,True
0,0,8,100,fine,3,B naive,8,46,True
0,0,8,100,fine,4,CD14 Mono,7,38,True
0,0,8,100,fine,5,CD16 Mono,4,10,True
0,0,8,100,fine,6,CD4 CTL,6,14,True
0,0,8,100,fine,7,CD4 Naive,8,127,True
0,0,8,100,fine,8,CD4 Proliferating,1,1,True
0,0,8,100,fine,9,CD4 TCM,8,179,True
0,0,8,100,fine,10,CD4 TEM,6,17,True
0,0,8,100,fine,11,CD8 Naive,7,30,True
0,0,8,100,fine,12,CD8 Proliferating,0,0,False
0,0,8,100,fine,13,CD8 TCM,4,6,True
0,0,8,100,fine,14,CD8 TEM,8,101,True
0,0,8,100,fine,15,Eryth,0,0,False
0,0,8,100,fine,16,HSPC,1,1,True
0,0,8,100,fine,17,ILC,1,1,True
0,0,8,100,fine,18,MAIT,6,13,True
0,0,8,100,fine,19,NK,8,135,True
0,0,8,100,fine,20,NK Proliferating,0,0,False
0,0,8,100,fine,21,NK_CD56bright,1,1,True
0,0,8,100,fine,22,Plasmablast,3,3,True
0,0,8,100,fine,23,Platelet,0,0,False
0,0,8,100,fine,24,Treg,7,13,True
0,0,8,100,fine,25,cDC1,0,0,False
0,0,8,100,fine,26,cDC2,3,3,True
0,0,8,100,fine,27,dnT,1,1,True
0,0,8,100,fine,28,gdT,6,19,True
0,0,8,100,fine,29,pDC,0,0,False
0,1,8,100,coarse,0,B,8,61,True
0,1,8,100,coarse,1,Myeloid,8,39,True
0,1,8,100,coarse,2,NK,8,118,True
0,1,8,100,coarse,3,Other,2,2,True
0,1,8,100,coarse,4,T,8,580,True
0,1,8,100,fine,0,ASDC,0,0,False
0,1,8,100,fine,1,B intermediate,6,7,True
0,1,8,100,fine,2,B memory,6,19,True
0,1,8,100,fine,3,B naive,8,34,True
0,1,8,100,fine,4,CD14 Mono,7,26,True
0,1,8,100,fine,5,CD16 Mono,6,13,True
0,1,8,100,fine,6,CD4 CTL,6,11,True
0,1,8,100,fine,7,CD4 Naive,8,160,True
0,1,8,100,fine,8,CD4 Proliferating,0,0,False
0,1,8,100,fine,9,CD4 TCM,8,235,True
0,1,8,100,fine,10,CD4 TEM,7,26,True
0,1,8,100,fine,11,CD8 Naive,8,37,True
0,1,8,100,fine,12,CD8 Proliferating,1,1,True
0,1,8,100,fine,13,CD8 TCM,5,10,True
0,1,8,100,fine,14,CD8 TEM,6,56,True
0,1,8,100,fine,15,Eryth,0,0,False
0,1,8,100,fine,16,HSPC,0,0,False
0,1,8,100,fine,17,ILC,0,0,False
0,1,8,100,fine,18,MAIT,4,15,True
0,1,8,100,fine,19,NK,8,112,True
0,1,8,100,fine,20,NK Proliferating,0,0,False
0,1,8,100,fine,21,NK_CD56bright,4,6,True
0,1,8,100,fine,22,Plasmablast,1,1,True
0,1,8,100,fine,23,Platelet,2,2,True
0,1,8,100,fine,24,Treg,7,21,True
0,1,8,100,fine,25,cDC1,0,0,False
0,1,8,100,fine,26,cDC2,0,0,False
0,1,8,100,fine,27,dnT,0,0,False
0,1,8,100,fine,28,gdT,5,8,True
0,1,8,100,fine,29,pDC,0,0,False
0,2,8,100,coarse,0,B,8,90,True
0,2,8,100,coarse,1,Myeloid,8,49,True
0,2,8,100,coarse,2,NK,8,100,True
0,2,8,100,coarse,3,Other,2,3,True
0,2,8,100,coarse,4,T,8,558,True
0,2,8,100,fine,0,ASDC,0,0,False
0,2,8,100,fine,1,B intermediate,7,15,True
0,2,8,100,fine,2,B memory,8,20,True
