subtype,pearson_r,pearson_p,spearman_rho,spearman_p,mae,true_prevalence,patients_present,cell_support
Atypical Memory B,0.6600267216639463,3.5987019160014286e-06,0.6155516896034544,2.3638190376409156e-05,0.000866955661987906,0.0013349867594586828,34,781
CD14 Monocyte-1,0.5496509081654148,0.00023914581731325317,0.5198874296435273,0.0005855474517391952,0.044714237334308474,0.09126242509091721,40,29871
CD14 Monocyte-2,0.6713243442425113,2.1213096437214144e-06,0.7198874296435274,1.6449635277049733e-07,0.007359537165455557,0.01463491806015623,40,3931
CD14 Monocyte-3,0.7254295702526954,1.1878558580387498e-07,0.4559274696216926,0.0031102368284393308,0.0030839292544815678,0.003906496518833064,32,2977
CD16 Monocyte-1,0.30508822715822453,0.055584541044838544,0.426641651031895,0.006044815271666616,0.026223706595894715,0.05045952599720194,40,14678
CD16 Monocyte-2,0.24289710661935543,0.13098664321356554,0.6193245778611634,2.0376248588514353e-05,0.011029522002113028,0.012375741302436382,40,5142
CD16 NK,0.7840945615104971,2.1687186926044134e-09,0.7786116322701689,3.3155319222604235e-09,0.054075008483574126,0.19069248819936577,40,58507
CD4 + Tcm-1,0.7484534818661348,2.812167844645039e-08,0.6514071294559101,5.307862468077822e-06,0.061075886402295665,0.23188129115518746,40,70653
CD4 + Tcm-2,0.882321130197862,5.2841792425322704e-14,0.5345215759849906,0.00038092989781043544,0.010935420234296205,0.028730235643995388,39,16861
CD4 Monocyte-4,0.5333283836254952,0.00039480962049666006,0.5660096391852428,0.0001409002733251336,0.001806002923420797,0.0028449538412189863,35,1405
CD56 NK,0.9041926174682031,1.2930816738174013e-15,0.776360225140713,3.93326394131056e-09,0.02279199945832348,0.065830534071883,40,38442
CD8 + CTL-1,0.9673775865073322,2.9075425435340943e-24,0.33264540337711074,0.03597046823204044,0.0028981372657398653,0.011436126984121891,40,7303
CD8 + CTL-2,0.7219685396501477,1.4569876942552375e-07,0.596503197235495,4.8626617197753814e-05,0.004268864150517133,0.005371025564465217,33,4049
CD8 + CTL-3,0.45731458762276933,0.003009499542610417,0.39937309742085014,0.01068046760951192,0.003736756718032715,0.005215542473222057,27,3244
CD8 Tem-1,0.5547800067394644,0.00020319250449923684,0.48780487804878064,0.0014085847121394096,0.04085146926016175,0.09776779945187103,40,26714
CD8 Tem-2,0.6206321171151278,1.9345429969266326e-05,0.5712945590994373,0.00011805474841161292,0.010212329539787079,0.022675966085007056,40,10548
Cycling T,0.1553310111828498,0.33853009888780283,0.6227016885553472,1.7810826922002726e-05,0.006762364905021236,0.013141000270277824,40,3667
Erythrocyte,0.1276314434536719,0.43255140671581105,0.433631590475724,0.005185050377935696,0.00015163554822932268,0.00014176807970281503,6,65
GCB,0.7160904008459855,2.046993223645384e-07,0.4737811749105189,0.0020144836082325807,0.004328237006667096,0.004292649282146203,31,3283
Memory B-1,0.38906608197219494,0.013091337060465138,0.39793621013133207,0.010991944943771582,0.032239945016994474,0.06204010537589002,40,23722
Memory B-2,0.9356436907431632,8.90149728026247e-19,0.4501520501370356,0.003562061358414185,0.0014731861780294142,0.0031112585245875214,33,2130
Naive T,0.8831401290469691,4.6618734897474034e-14,0.5196998123827393,0.0005887102675645184,0.010599483025435364,0.029802692694269155,40,17960
Plasma,0.45381449522334394,0.003269357340167584,0.6418386491557224,8.057033073703025e-06,0.004831278116521995,0.008243094863291923,40,2173
Tcm,0.030244684571540375,0.8530244737959366,0.1819803109799808,0.2610708022098389,0.008352500219133538,0.007057020322196355,36,2121
cDC2,-0.0757459882242581,0.6422630029178378,0.1459662288930582,0.3687994065678238,0.01818628047107428,0.024328030167202166,40,7376
pDC,0.34019156486733126,0.031725227693060215,0.5885553470919326,6.483112979025606e-05,0.004377582320727562,0.008476629521159882,40,2615
platelet,0.47348649114232677,0.0020293610327426844,0.2887565085966641,0.07075340606091307,0.0018800675578459762,0.002945693699934735,38,1574
