feature_set,transform,outer_fold,disease,feature,coefficient
technical,raw,0,BTC,log_n_cells,0.6685952428514693
technical,raw,0,CRC,log_n_cells,-1.1417793077285383
technical,raw,0,GC,log_n_cells,-0.9031047289204298
technical,raw,0,HCC,log_n_cells,-0.5271709746016074
technical,raw,0,Normal,log_n_cells,3.7867913706019087
technical,raw,0,PC,log_n_cells,-1.8833316022028033
technical,raw,1,BTC,log_n_cells,0.8991975242438943
technical,raw,1,CRC,log_n_cells,-1.382643519362859
technical,raw,1,GC,log_n_cells,-1.5632629495994685
technical,raw,1,HCC,log_n_cells,-0.9197056279632357
technical,raw,1,Normal,log_n_cells,5.229125417049987
technical,raw,1,PC,log_n_cells,-2.2627108443683173
technical,raw,2,BTC,log_n_cells,7.546281606625618
technical,raw,2,CRC,log_n_cells,-4.566432724054878
technical,raw,2,GC,log_n_cells,-5.923715811701302
technical,raw,2,HCC,log_n_cells,-3.097067973969253
technical,raw,2,Normal,log_n_cells,14.327876834246949
technical,raw,2,PC,log_n_cells,-8.286941931147112
technical,raw,3,BTC,log_n_cells,0.8014360505266568
technical,raw,3,CRC,log_n_cells,-1.0214115669755564
technical,raw,3,GC,log_n_cells,-1.068628638526716
technical,raw,3,HCC,log_n_cells,-0.6040211786624614
technical,raw,3,Normal,log_n_cells,3.5212078731640264
technical,raw,3,PC,log_n_cells,-1.6285825395259492
technical,raw,4,BTC,log_n_cells,0.8272834951633554
technical,raw,4,CRC,log_n_cells,-1.412017535561406
technical,raw,4,GC,log_n_cells,-1.2252183877759415
technical,raw,4,HCC,log_n_cells,-0.8649530035450481
technical,raw,4,Normal,log_n_cells,4.650193128801886
technical,raw,4,PC,log_n_cells,-1.9752876970828521
pred_hard_lineage,raw,0,BTC,pred_hard_lineage::B,1.1321268370269797
pred_hard_lineage,raw,0,BTC,pred_hard_lineage::Myeloid,-0.811256037460527
pred_hard_lineage,raw,0,BTC,pred_hard_lineage::NK,1.3737079754697274
pred_hard_lineage,raw,0,BTC,pred_hard_lineage::Other,-4.144191751991736
