feature_set,transform,outer_fold,selected_C,accuracy,balanced_accuracy,macro_f1,log_loss,macro_auroc,recall::BTC,f1::BTC,recall::CRC,f1::CRC,recall::GC,f1::GC,recall::HCC,f1::HCC,recall::Normal,f1::Normal,recall::PC,f1::PC,confusion_matrix
technical,raw,0,10.0,0.5,0.6666666666666666,0.5111111111111111,1.323650368625664,0.8273809523809524,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
technical,raw,1,100.0,0.625,0.6666666666666666,0.5555555555555555,1.1959084157331283,0.7797619047619048,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
technical,raw,2,100.0,0.5,0.5,0.41111111111111115,4.755063707184051,0.6884920634920636,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0]]"
technical,raw,3,10.0,0.5,0.5,0.4444444444444444,1.2338952270121277,0.8095238095238094,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.6666666666666666,"[[1, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1]]"
technical,raw,4,100.0,0.75,0.8333333333333334,0.7222222222222222,1.053141243186118,0.8492063492063493,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_lineage,raw,0,100.0,0.375,0.5,0.4444444444444444,2.906189774982026,0.7619047619047619,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0]]"
pred_hard_lineage,raw,1,0.1,0.375,0.4166666666666667,0.27777777777777773,1.6220216403760808,0.7976190476190478,1.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0]]"
pred_hard_lineage,raw,2,10.0,0.75,0.8333333333333334,0.8055555555555555,0.9121529557514005,0.9166666666666666,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_lineage,raw,3,1.0,0.375,0.4166666666666667,0.38888888888888884,1.9069479246116385,0.7440476190476191,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,"[[1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0]]"
pred_hard_lineage,raw,4,1.0,0.5,0.4166666666666667,0.3444444444444444,1.380950579391821,0.8253968253968255,1.0,0.6666666666666666,0.0,0.0,0.5,0.4,0.0,0.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0]]"
pred_hard_lineage,clr,0,10.0,0.5,0.6666666666666666,0.5555555555555555,1.6664254830064138,0.7817460317460316,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 0], [0, 1, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_lineage,clr,1,1.0,0.75,0.75,0.6666666666666666,1.1718488461578431,0.9206349206349206,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_lineage,clr,2,0.01,0.625,0.6666666666666666,0.5222222222222223,1.6654360260472703,0.8551587301587301,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_lineage,clr,3,10.0,0.375,0.4166666666666667,0.3444444444444444,2.4428209311717053,0.7678571428571429,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.4,1.0,1.0,0.0,0.0,"[[1, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 0, 0]]"
pred_hard_lineage,clr,4,10.0,0.5,0.5,0.3611111111111111,1.746056252257332,0.7678571428571429,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0]]"
pred_soft_lineage,raw,0,100.0,0.375,0.5,0.3444444444444444,5.111098864506873,0.7896825396825397,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.4,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 2], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_lineage,raw,1,10.0,0.625,0.5833333333333334,0.5277777777777778,1.3668516065945728,0.873015873015873,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,0.5,"[[0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1]]"
pred_soft_lineage,raw,2,100.0,0.625,0.6666666666666666,0.5222222222222223,1.0547459297119985,0.8551587301587302,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_lineage,raw,3,10.0,0.375,0.4166666666666667,0.3611111111111111,2.1775597539163685,0.8452380952380953,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,"[[1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0]]"
pred_soft_lineage,raw,4,1.0,0.375,0.4166666666666667,0.3055555555555555,1.7758286934757006,0.7440476190476191,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0]]"
pred_soft_lineage,clr,0,0.1,0.375,0.4166666666666667,0.31666666666666665,1.424787350250737,0.9166666666666666,1.0,1.0,0.5,0.4,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0]]"
pred_soft_lineage,clr,1,0.1,0.75,0.75,0.7222222222222222,1.418295489665783,0.9206349206349206,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"[[0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_lineage,clr,2,100.0,0.625,0.6666666666666666,0.5222222222222223,1.9800135227657536,0.8293650793650794,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_lineage,clr,3,10.0,0.375,0.4166666666666667,0.3333333333333333,1.9694005195563342,0.8214285714285715,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0]]"
pred_soft_lineage,clr,4,1.0,0.25,0.25,0.2222222222222222,1.724807432815418,0.7162698412698414,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0]]"
pred_hard_subtype,raw,0,100.0,0.25,0.3333333333333333,0.2222222222222222,8.810606245498025,0.7281746031746033,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0]]"
