outer_fold,subtype,log_loss_increase_mean,log_loss_increase_sd,permutations
0,Atypical Memory B,0.008539143828774876,0.037689835975607,100
0,CD14 Monocyte-1,0.5534272760882913,0.4599403094180203,100
0,CD14 Monocyte-2,0.10422246015401487,0.20545301703291444,100
0,CD14 Monocyte-3,-0.002274007866967942,0.02833824600610929,100
0,CD16 Monocyte-1,0.2442209270368225,0.17908353456526904,100
0,CD16 Monocyte-2,0.003382089704877034,0.03435523682556002,100
0,CD16 NK,-0.04125059875427399,0.13324799380905433,100
0,CD4 + Tcm-1,0.16762091679943353,0.129634349081635,100
0,CD4 + Tcm-2,0.11922777972605793,0.19555905773363547,100
0,CD4 Monocyte-4,-0.013088339392354457,0.06697903926922816,100
0,CD56 NK,0.4065956036160749,0.3497834764694095,100
0,CD8 + CTL-1,0.11413180764974395,0.2012926693987907,100
0,CD8 + CTL-2,0.013318120629562306,0.04616664956970304,100
0,CD8 + CTL-3,0.06792500951567013,0.13075325986009653,100
0,CD8 Tem-1,0.2633130303700504,0.27196150801263186,100
0,CD8 Tem-2,0.7224130755240197,0.6239638201943822,100
0,Cycling T,0.06443884112065405,0.0455109586475946,100
0,Erythrocyte,0.09648932444406375,0.20345455073938673,100
0,GCB,-0.0022280846544771114,0.01942521553009935,100
0,Memory B-1,0.9023982638572019,0.734463507145026,100
0,Memory B-2,0.2446215080571957,0.37070345371745006,100
0,Naive T,-0.005874671551650508,0.08541753146111042,100
0,Plasma,-0.01702400372730091,0.050680174289966774,100
0,Tcm,-0.0721980698949961,1.4323580131085223,100
0,cDC2,-0.035793650215129785,0.10414426174077762,100
0,pDC,1.422516381078416,0.6374368465912565,100
0,platelet,0.37736257463458023,0.3404018230804962,100
1,Atypical Memory B,0.528304949586738,0.35453948713731837,100
1,CD14 Monocyte-1,0.05601284486473297,0.04733129222239057,100
1,CD14 Monocyte-2,0.07134416400690952,0.10835644096701104,100
1,CD14 Monocyte-3,-0.0028115100067320643,0.030232292380139084,100
1,CD16 Monocyte-1,0.08203537693071913,0.07061511726344637,100
1,CD16 Monocyte-2,-0.009959952572015518,0.019428284317989236,100
1,CD16 NK,0.06677971294622764,0.09640330344154376,100
1,CD4 + Tcm-1,-0.021333804519578208,0.06000435934069105,100
1,CD4 + Tcm-2,-0.0056058139220187585,0.017651876870394618,100
1,CD4 Monocyte-4,0.12439711303863123,0.29963011977681686,100
