sample_id,disease,n_cells,outer_fold
CRC11,CRC,7469,0
CRC13,CRC,5062,2
CRC16,CRC,7478,0
CRC17,CRC,6427,4
CRC22,CRC,5203,1
CRC23,CRC,6110,2
CRC24,CRC,7254,1
CRC25,CRC,7233,3
GC28_P_cDNA,GC,7320,4
GC29_P_cDNA,GC,5117,0
GC2_P_cDNA,GC,4443,4
GC30_P_cDNA,GC,7164,0
GC31_P_cDNA,GC,7103,1
GC32_P_cDNA,GC,7179,2
GC36_P_cDNA,GC,7234,3
HCC-1,HCC,7055,2
HCC-2-1_1,HCC,6913,1
HCC-2-2,HCC,7179,0
HCC-22,HCC,7019,4
HCC-24,HCC,7039,1
HCC-3-1_2,HCC,7198,3
HCC-3-2_1,HCC,7285,2
PBMC-1,Normal,22144,1
PBMC-2,Normal,16302,4
PBMC-3,Normal,21398,3
PBMC-4,Normal,22627,2
PBMC-5,Normal,19153,4
PBMC-6,Normal,15164,0
PC-1,PC,17977,2
PC-2,PC,1929,4
PC-3,PC,4981,0
PC-4,PC,2060,3
PC-5,PC,3977,1
PC-6,PC,6890,3
PRZ1,BTC,8750,4
PRZ2,BTC,12428,0
PRZ3,BTC,9117,3
PRZ4,BTC,7719,3
PRZ5,BTC,12944,2
PRZ6,BTC,8748,1
