model,task,metric,total_training_cells,patient_budget,cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,macro_f1,3200,8,400,20,0.27094350996003524,0.0067014877894713675,0.25893622438459063,0.2825934396800642,1.0,0.2606462745114558,0.2827546205756808
logistic_regression,coarse,patient_balanced_macro_f1,3200,8,400,20,0.2697547805249904,0.006147270812349264,0.2590057081178709,0.28033457471792583,1.0,0.2557261647539822,0.283491479177297
logistic_regression,coarse,mean_patient_macro_f1,3200,8,400,20,0.24306433435853791,0.0045271410425170005,0.23532790637971576,0.25082506030193435,1.0,0.23694696877143065,0.2630154871110397
logistic_regression,coarse,macro_f1,3200,16,200,20,0.2785141201160749,0.004123026538326542,0.2724564067530578,0.2853936980526693,1.0,0.2676734794397871,0.2889546156024756
logistic_regression,coarse,patient_balanced_macro_f1,3200,16,200,20,0.27713790505659386,0.004750624617675158,0.2695239872251885,0.28467116714199475,1.0,0.26438164883169407,0.28956083915219116
logistic_regression,coarse,mean_patient_macro_f1,3200,16,200,20,0.2507718557418701,0.0033120119648255746,0.24503222824734927,0.2558709506104708,1.0,0.24367774499094816,0.26657601776458073
logistic_regression,coarse,macro_f1,3200,32,100,20,0.2830520609228185,0.0031064322690987117,0.2779456667191637,0.2878570208266291,1.0,0.27201826218401737,0.2934815881100584
logistic_regression,coarse,patient_balanced_macro_f1,3200,32,100,20,0.28213070385852657,0.0022412428518276957,0.2793084022913555,0.28582826175710346,1.0,0.26957333118569,0.29400089564631965
logistic_regression,coarse,mean_patient_macro_f1,3200,32,100,20,0.25552521066722755,0.0018334962528098033,0.2519009293102097,0.2579235239000355,1.0,0.24635366549507678,0.2691209692007114
logistic_regression,coarse,macro_f1,6400,8,800,20,0.27793192160841373,0.006865141110986328,0.265896093113134,0.2910125932229339,1.0,0.2643935005245583,0.29034216494918225
logistic_regression,coarse,patient_balanced_macro_f1,6400,8,800,20,0.2770457352795337,0.00632150888410664,0.2657315917705784,0.2896433376095092,1.0,0.2614094307705312,0.2918611707727773
logistic_regression,coarse,mean_patient_macro_f1,6400,8,800,20,0.24657138918689073,0.004740446778147706,0.23914539619986128,0.2564811653442693,1.0,0.23976633390846203,0.2680638679605648
logistic_regression,coarse,macro_f1,6400,16,400,20,0.28722574455357136,0.0040025381707219495,0.279976126457312,0.29366898204207287,1.0,0.2750373443806545,0.2988621074647544
logistic_regression,coarse,patient_balanced_macro_f1,6400,16,400,20,0.28562629359005043,0.004262018328030548,0.27828172478935725,0.29342324278174065,1.0,0.27126923223932686,0.2992074047037802
logistic_regression,coarse,mean_patient_macro_f1,6400,16,400,20,0.256042182047308,0.002921713374901232,0.2510810253054277,0.26167082992664753,1.0,0.2472432833326136,0.2740667455480397
logistic_regression,coarse,macro_f1,6400,32,200,20,0.2934094559270953,0.0024442267327837415,0.2892857625815535,0.29718661143917946,1.0,0.28085637492397436,0.30576353691258623
logistic_regression,coarse,patient_balanced_macro_f1,6400,32,200,20,0.2923246487760684,0.0014841798059807762,0.28980921864381554,0.2951684397507221,1.0,0.27733095866270996,0.30585246860172394
logistic_regression,coarse,mean_patient_macro_f1,6400,32,200,20,0.2624522399596797,0.0013091068698164103,0.26020337173532104,0.2651414706791624,1.0,0.2514645871749101,0.2763241460440941
logistic_regression,coarse,macro_f1,12800,8,1600,20,0.28248031709364635,0.00689321237883892,0.26863459213371815,0.2958308008774184,1.0,0.2672823498217621,0.2956406920306221
logistic_regression,coarse,patient_balanced_macro_f1,12800,8,1600,20,0.281464835680821,0.006508558087020244,0.26982018278895004,0.2936769226019836,1.0,0.2645055236681591,0.2970734150256003
logistic_regression,coarse,mean_patient_macro_f1,12800,8,1600,20,0.24815082322908116,0.004957250942070054,0.24008284277760503,0.2566452583356186,1.0,0.24089037139793953,0.27049640955438786
logistic_regression,coarse,macro_f1,12800,16,800,20,0.29285907970548586,0.003997096857708554,0.2857914775742525,0.2998463337951118,1.0,0.27961997275116257,0.30559731695460346
logistic_regression,coarse,patient_balanced_macro_f1,12800,16,800,20,0.29137741698065867,0.004497766852530414,0.28366202843566396,0.29985048863444974,1.0,0.27615424383622184,0.3057548490942767
logistic_regression,coarse,mean_patient_macro_f1,12800,16,800,20,0.2592464206377428,0.003265527719978086,0.25328310153301314,0.2646839298972291,1.0,0.24935806011083528,0.27809274437268533
logistic_regression,coarse,macro_f1,12800,32,400,20,0.2986598256919103,0.002049999868047737,0.29546752413002253,0.30251753304043394,1.0,0.2849683718481845,0.3109629425589109
logistic_regression,coarse,patient_balanced_macro_f1,12800,32,400,20,0.2984478953589459,0.0014391056644279423,0.2956676615297737,0.30079512587282575,1.0,0.2815991384221347,0.31230653953246207
logistic_regression,coarse,mean_patient_macro_f1,12800,32,400,20,0.26618577577934,0.0014056495206753534,0.2630513350409105,0.26809590421773166,1.0,0.2535132524325578,0.2803603438156644
logistic_regression,fine,macro_f1,3200,8,400,20,0.08203699877483153,0.002611089116897593,0.07761302369627002,0.08698637212371635,1.0,0.07363279727824255,0.08760382944771813
logistic_regression,fine,patient_balanced_macro_f1,3200,8,400,20,0.07771540354264246,0.0030278490500091895,0.07324011579043882,0.08415608296855863,1.0,0.06944994347937797,0.0844187473333633
logistic_regression,fine,mean_patient_macro_f1,3200,8,400,20,0.04748024171658677,0.0013676922674594138,0.0449884663462627,0.049283919837785545,1.0,0.04752600925441863,0.05401964385820076
logistic_regression,fine,macro_f1,3200,16,200,20,0.0865488396529528,0.0018006725366781723,0.08344270649304614,0.08916769991949426,1.0,0.0792109940391068,0.09182582200868897
logistic_regression,fine,patient_balanced_macro_f1,3200,16,200,20,0.0823693630483887,0.002284491177787094,0.07889908479260085,0.0865109787274063,1.0,0.07355614093707445,0.08876370933223415
logistic_regression,fine,mean_patient_macro_f1,3200,16,200,20,0.049716306129361995,0.0008985036122935192,0.047864401234063166,0.05093582160764698,1.0,0.0487517592408688,0.05549407473595898
logistic_regression,fine,macro_f1,3200,32,100,20,0.08851383371216912,0.0017877857950422847,0.08577382385853458,0.09218608932770775,1.0,0.08071683629217286,0.09364268679662548
logistic_regression,fine,patient_balanced_macro_f1,3200,32,100,20,0.08540530562576078,0.001652726456845638,0.08298990657159762,0.08892873516592605,1.0,0.07653250545578623,0.09084146223495414
logistic_regression,fine,mean_patient_macro_f1,3200,32,100,20,0.051049845986437234,0.0006691466507568469,0.04991624269241619,0.05237335503638839,1.0,0.04963489188190774,0.05584517986061488
logistic_regression,fine,macro_f1,6400,8,800,20,0.08544741934933378,0.0024533471201896575,0.08177455929766425,0.0895691545426894,1.0,0.07538171866850082,0.09171383848490522
logistic_regression,fine,patient_balanced_macro_f1,6400,8,800,20,0.08037218432356003,0.0029765903299313673,0.0765222478465255,0.08659079627108836,1.0,0.07035473629943237,0.08772367062750643
logistic_regression,fine,mean_patient_macro_f1,6400,8,800,20,0.048893805612536964,0.001592001163889839,0.046267302275909535,0.051396882644589116,1.0,0.04791404214069294,0.055426868072385255
logistic_regression,fine,macro_f1,6400,16,400,20,0.08975387556249576,0.0020635513298440447,0.08655104234155879,0.0935706881704445,1.0,0.0798641785427346,0.09554402066301279
logistic_regression,fine,patient_balanced_macro_f1,6400,16,400,20,0.08510466112348442,0.0025144476982287846,0.08103419971281557,0.08934653395800222,1.0,0.07454079788914096,0.09201319212532233
logistic_regression,fine,mean_patient_macro_f1,6400,16,400,20,0.05088241152479933,0.0010621275401910674,0.04939375526063688,0.05243111015282345,1.0,0.04881913045988308,0.05646160399681304
logistic_regression,fine,macro_f1,6400,32,200,20,0.09269936528598272,0.0011209832822470865,0.09093842015354364,0.094820766933295,1.0,0.08385417272786605,0.09802894795191436
logistic_regression,fine,patient_balanced_macro_f1,6400,32,200,20,0.08904749588112341,0.0010727103869021368,0.08740433337778758,0.0910702597629418,1.0,0.07874949764338642,0.0950917414684109
logistic_regression,fine,mean_patient_macro_f1,6400,32,200,20,0.05257311480958306,0.0005711412852253022,0.051772750561489854,0.053567256430338,1.0,0.050083192198627474,0.056945897732894935
logistic_regression,fine,macro_f1,12800,8,1600,20,0.08688207726758973,0.0031284719242702123,0.08161645256631128,0.0921011687300619,1.0,0.07630635203817736,0.09420218338095283
logistic_regression,fine,patient_balanced_macro_f1,12800,8,1600,20,0.08123670455873663,0.003555544346622667,0.07606419413158502,0.08744376561330157,1.0,0.07055203513157812,0.08926803478157339
logistic_regression,fine,mean_patient_macro_f1,12800,8,1600,20,0.04914086617240767,0.00192644144894417,0.045853960610818485,0.05224899041939618,1.0,0.047364287719658366,0.055553289557450106
logistic_regression,fine,macro_f1,12800,16,800,20,0.09179565996917481,0.002062729361786688,0.08858715044333343,0.09563622557986365,1.0,0.0812526101834473,0.0983652772188278
logistic_regression,fine,patient_balanced_macro_f1,12800,16,800,20,0.08670781998364276,0.002439589267049702,0.0827387889389623,0.09047657181479486,1.0,0.07576084504428501,0.0940537489011776
logistic_regression,fine,mean_patient_macro_f1,12800,16,800,20,0.0516019612222036,0.0011225107084353904,0.04976491773388082,0.05357283665196552,1.0,0.04900315204358228,0.05691448797597434
logistic_regression,fine,macro_f1,12800,32,400,20,0.09514296435679934,0.0012734256627929047,0.09299644953821178,0.09737221867668794,1.0,0.08494339225270654,0.10135279752165953
logistic_regression,fine,patient_balanced_macro_f1,12800,32,400,20,0.09132806102091796,0.001309836210251897,0.08917998020580302,0.09377539177654835,1.0,0.08058124520726877,0.09798863862165288
