job_id,outer_fold,seed,patient_budget,cell_cap,model,task,start_time,end_time,exit_status,log_path,output_path,error
fold0_seed00_P8_C100_logistic_regression_coarse,0,0,8,100,logistic_regression,coarse,2026-09-08T16:33:46.562176+00:00,2026-09-08T16:33:49.120350+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_logistic_regression_fine,0,0,8,100,logistic_regression,fine,2026-09-08T16:33:46.562176+00:00,2026-09-08T16:33:49.120350+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_xgboost_coarse,0,0,8,100,xgboost,coarse,2026-09-08T16:33:49.778196+00:00,2026-09-08T16:34:30.261570+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed00_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed00_P8_C100_xgboost.npz,
fold0_seed00_P8_C100_xgboost_fine,0,0,8,100,xgboost,fine,2026-09-08T16:33:49.778196+00:00,2026-09-08T16:34:30.261570+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed00_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed00_P8_C100_xgboost.npz,
fold0_seed01_P8_C100_logistic_regression_coarse,0,1,8,100,logistic_regression,coarse,2026-09-08T16:33:45.695254+00:00,2026-09-08T16:33:48.430406+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_logistic_regression_fine,0,1,8,100,logistic_regression,fine,2026-09-08T16:33:45.695254+00:00,2026-09-08T16:33:48.430406+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_xgboost_coarse,0,1,8,100,xgboost,coarse,2026-09-08T16:33:50.620379+00:00,2026-09-08T16:34:23.942536+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed01_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed01_P8_C100_xgboost.npz,
fold0_seed01_P8_C100_xgboost_fine,0,1,8,100,xgboost,fine,2026-09-08T16:33:50.620379+00:00,2026-09-08T16:34:23.942536+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed01_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed01_P8_C100_xgboost.npz,
fold0_seed02_P8_C100_logistic_regression_coarse,0,2,8,100,logistic_regression,coarse,2026-09-08T16:33:46.956925+00:00,2026-09-08T16:33:49.430967+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_logistic_regression_fine,0,2,8,100,logistic_regression,fine,2026-09-08T16:33:46.956925+00:00,2026-09-08T16:33:49.430967+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_xgboost_coarse,0,2,8,100,xgboost,coarse,2026-09-08T16:33:51.775062+00:00,2026-09-08T16:34:27.477450+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed02_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed02_P8_C100_xgboost.npz,
fold0_seed02_P8_C100_xgboost_fine,0,2,8,100,xgboost,fine,2026-09-08T16:33:51.775062+00:00,2026-09-08T16:34:27.477450+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed02_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed02_P8_C100_xgboost.npz,
fold0_seed03_P8_C100_logistic_regression_coarse,0,3,8,100,logistic_regression,coarse,2026-09-08T16:33:47.923677+00:00,2026-09-08T16:33:49.754617+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed03_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed03_P8_C100_logistic_regression.npz,
fold0_seed03_P8_C100_logistic_regression_fine,0,3,8,100,logistic_regression,fine,2026-09-08T16:33:47.923677+00:00,2026-09-08T16:33:49.754617+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed03_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed03_P8_C100_logistic_regression.npz,
fold0_seed03_P8_C100_xgboost_coarse,0,3,8,100,xgboost,coarse,2026-09-08T16:34:30.296267+00:00,2026-09-08T16:34:49.025186+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed03_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed03_P8_C100_xgboost.npz,
fold0_seed03_P8_C100_xgboost_fine,0,3,8,100,xgboost,fine,2026-09-08T16:34:30.296267+00:00,2026-09-08T16:34:49.025186+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed03_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed03_P8_C100_xgboost.npz,
fold0_seed04_P8_C100_logistic_regression_coarse,0,4,8,100,logistic_regression,coarse,2026-09-08T16:33:48.772962+00:00,2026-09-08T16:33:51.044095+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_logistic_regression_fine,0,4,8,100,logistic_regression,fine,2026-09-08T16:33:48.772962+00:00,2026-09-08T16:33:51.044095+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_xgboost_coarse,0,4,8,100,xgboost,coarse,2026-09-08T16:34:24.006709+00:00,2026-09-08T16:34:46.086972+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed04_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed04_P8_C100_xgboost.npz,
fold0_seed04_P8_C100_xgboost_fine,0,4,8,100,xgboost,fine,2026-09-08T16:34:24.006709+00:00,2026-09-08T16:34:46.086972+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed04_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed04_P8_C100_xgboost.npz,
fold0_seed05_P8_C100_logistic_regression_coarse,0,5,8,100,logistic_regression,coarse,2026-09-08T16:33:49.559737+00:00,2026-09-08T16:33:52.134862+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed05_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed05_P8_C100_logistic_regression.npz,
fold0_seed05_P8_C100_logistic_regression_fine,0,5,8,100,logistic_regression,fine,2026-09-08T16:33:49.559737+00:00,2026-09-08T16:33:52.134862+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed05_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed05_P8_C100_logistic_regression.npz,
fold0_seed05_P8_C100_xgboost_coarse,0,5,8,100,xgboost,coarse,2026-09-08T16:34:27.513097+00:00,2026-09-08T16:34:51.855685+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed05_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed05_P8_C100_xgboost.npz,
fold0_seed05_P8_C100_xgboost_fine,0,5,8,100,xgboost,fine,2026-09-08T16:34:27.513097+00:00,2026-09-08T16:34:51.855685+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed05_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed05_P8_C100_xgboost.npz,
fold0_seed06_P8_C100_logistic_regression_coarse,0,6,8,100,logistic_regression,coarse,2026-09-08T16:33:49.128088+00:00,2026-09-08T16:33:50.949877+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed06_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed06_P8_C100_logistic_regression.npz,
fold0_seed06_P8_C100_logistic_regression_fine,0,6,8,100,logistic_regression,fine,2026-09-08T16:33:49.128088+00:00,2026-09-08T16:33:50.949877+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed06_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed06_P8_C100_logistic_regression.npz,
fold0_seed06_P8_C100_xgboost_coarse,0,6,8,100,xgboost,coarse,2026-09-08T16:34:49.073562+00:00,2026-09-08T16:35:08.294197+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed06_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed06_P8_C100_xgboost.npz,
fold0_seed06_P8_C100_xgboost_fine,0,6,8,100,xgboost,fine,2026-09-08T16:34:49.073562+00:00,2026-09-08T16:35:08.294197+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed06_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed06_P8_C100_xgboost.npz,
fold0_seed07_P8_C100_logistic_regression_coarse,0,7,8,100,logistic_regression,coarse,2026-09-08T16:33:48.491072+00:00,2026-09-08T16:33:50.556910+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed07_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed07_P8_C100_logistic_regression.npz,
fold0_seed07_P8_C100_logistic_regression_fine,0,7,8,100,logistic_regression,fine,2026-09-08T16:33:48.491072+00:00,2026-09-08T16:33:50.556910+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed07_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed07_P8_C100_logistic_regression.npz,
fold0_seed07_P8_C100_xgboost_coarse,0,7,8,100,xgboost,coarse,2026-09-08T16:34:46.124365+00:00,2026-09-08T16:35:08.208056+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed07_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed07_P8_C100_xgboost.npz,
fold0_seed07_P8_C100_xgboost_fine,0,7,8,100,xgboost,fine,2026-09-08T16:34:46.124365+00:00,2026-09-08T16:35:08.208056+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed07_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed07_P8_C100_xgboost.npz,
fold0_seed08_P8_C100_logistic_regression_coarse,0,8,8,100,logistic_regression,coarse,2026-09-08T16:33:49.455881+00:00,2026-09-08T16:33:51.081238+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed08_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed08_P8_C100_logistic_regression.npz,
fold0_seed08_P8_C100_logistic_regression_fine,0,8,8,100,logistic_regression,fine,2026-09-08T16:33:49.455881+00:00,2026-09-08T16:33:51.081238+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed08_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed08_P8_C100_logistic_regression.npz,
fold0_seed08_P8_C100_xgboost_coarse,0,8,8,100,xgboost,coarse,2026-09-08T16:34:51.863555+00:00,2026-09-08T16:35:10.919573+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed08_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed08_P8_C100_xgboost.npz,
fold0_seed08_P8_C100_xgboost_fine,0,8,8,100,xgboost,fine,2026-09-08T16:34:51.863555+00:00,2026-09-08T16:35:10.919573+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed08_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed08_P8_C100_xgboost.npz,
fold0_seed09_P8_C100_logistic_regression_coarse,0,9,8,100,logistic_regression,coarse,2026-09-08T16:33:49.780630+00:00,2026-09-08T16:33:51.850958+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed09_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed09_P8_C100_logistic_regression.npz,
fold0_seed09_P8_C100_logistic_regression_fine,0,9,8,100,logistic_regression,fine,2026-09-08T16:33:49.780630+00:00,2026-09-08T16:33:51.850958+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed09_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed09_P8_C100_logistic_regression.npz,
fold0_seed09_P8_C100_xgboost_coarse,0,9,8,100,xgboost,coarse,2026-09-08T16:35:08.301423+00:00,2026-09-08T16:35:30.446668+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed09_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed09_P8_C100_xgboost.npz,
fold0_seed09_P8_C100_xgboost_fine,0,9,8,100,xgboost,fine,2026-09-08T16:35:08.301423+00:00,2026-09-08T16:35:30.446668+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed09_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed09_P8_C100_xgboost.npz,
fold0_seed10_P8_C100_logistic_regression_coarse,0,10,8,100,logistic_regression,coarse,2026-09-08T16:33:51.051062+00:00,2026-09-08T16:33:53.148716+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed10_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed10_P8_C100_logistic_regression.npz,
fold0_seed10_P8_C100_logistic_regression_fine,0,10,8,100,logistic_regression,fine,2026-09-08T16:33:51.051062+00:00,2026-09-08T16:33:53.148716+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed10_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed10_P8_C100_logistic_regression.npz,
fold0_seed10_P8_C100_xgboost_coarse,0,10,8,100,xgboost,coarse,2026-09-08T16:35:08.217843+00:00,2026-09-08T16:35:30.028030+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed10_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed10_P8_C100_xgboost.npz,
fold0_seed10_P8_C100_xgboost_fine,0,10,8,100,xgboost,fine,2026-09-08T16:35:08.217843+00:00,2026-09-08T16:35:30.028030+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed10_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed10_P8_C100_xgboost.npz,
fold0_seed11_P8_C100_logistic_regression_coarse,0,11,8,100,logistic_regression,coarse,2026-09-08T16:33:52.173170+00:00,2026-09-08T16:33:54.447754+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed11_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed11_P8_C100_logistic_regression.npz,
fold0_seed11_P8_C100_logistic_regression_fine,0,11,8,100,logistic_regression,fine,2026-09-08T16:33:52.173170+00:00,2026-09-08T16:33:54.447754+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed11_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed11_P8_C100_logistic_regression.npz,
fold0_seed11_P8_C100_xgboost_coarse,0,11,8,100,xgboost,coarse,2026-09-08T16:35:10.957894+00:00,2026-09-08T16:35:32.186505+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed11_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed11_P8_C100_xgboost.npz,
fold0_seed11_P8_C100_xgboost_fine,0,11,8,100,xgboost,fine,2026-09-08T16:35:10.957894+00:00,2026-09-08T16:35:32.186505+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed11_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed11_P8_C100_xgboost.npz,
fold0_seed12_P8_C100_logistic_regression_coarse,0,12,8,100,logistic_regression,coarse,2026-09-08T16:33:50.989644+00:00,2026-09-08T16:33:53.450103+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed12_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed12_P8_C100_logistic_regression.npz,
fold0_seed12_P8_C100_logistic_regression_fine,0,12,8,100,logistic_regression,fine,2026-09-08T16:33:50.989644+00:00,2026-09-08T16:33:53.450103+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed12_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed12_P8_C100_logistic_regression.npz,
fold0_seed12_P8_C100_xgboost_coarse,0,12,8,100,xgboost,coarse,2026-09-08T16:35:30.453944+00:00,2026-09-08T16:35:52.975112+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed12_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed12_P8_C100_xgboost.npz,
fold0_seed12_P8_C100_xgboost_fine,0,12,8,100,xgboost,fine,2026-09-08T16:35:30.453944+00:00,2026-09-08T16:35:52.975112+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed12_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed12_P8_C100_xgboost.npz,
fold0_seed13_P8_C100_logistic_regression_coarse,0,13,8,100,logistic_regression,coarse,2026-09-08T16:33:50.595544+00:00,2026-09-08T16:33:52.370586+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed13_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed13_P8_C100_logistic_regression.npz,
fold0_seed13_P8_C100_logistic_regression_fine,0,13,8,100,logistic_regression,fine,2026-09-08T16:33:50.595544+00:00,2026-09-08T16:33:52.370586+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed13_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed13_P8_C100_logistic_regression.npz,
fold0_seed13_P8_C100_xgboost_coarse,0,13,8,100,xgboost,coarse,2026-09-08T16:35:30.035271+00:00,2026-09-08T16:35:49.613104+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed13_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed13_P8_C100_xgboost.npz,
fold0_seed13_P8_C100_xgboost_fine,0,13,8,100,xgboost,fine,2026-09-08T16:35:30.035271+00:00,2026-09-08T16:35:49.613104+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed13_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed13_P8_C100_xgboost.npz,
fold0_seed14_P8_C100_logistic_regression_coarse,0,14,8,100,logistic_regression,coarse,2026-09-08T16:33:51.095584+00:00,2026-09-08T16:33:52.865580+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed14_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed14_P8_C100_logistic_regression.npz,
fold0_seed14_P8_C100_logistic_regression_fine,0,14,8,100,logistic_regression,fine,2026-09-08T16:33:51.095584+00:00,2026-09-08T16:33:52.865580+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed14_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed14_P8_C100_logistic_regression.npz,
fold0_seed14_P8_C100_xgboost_coarse,0,14,8,100,xgboost,coarse,2026-09-08T16:35:32.218202+00:00,2026-09-08T16:35:51.518712+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed14_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed14_P8_C100_xgboost.npz,
fold0_seed14_P8_C100_xgboost_fine,0,14,8,100,xgboost,fine,2026-09-08T16:35:32.218202+00:00,2026-09-08T16:35:51.518712+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed14_P8_C100_xgboost.log,outputs/patient_cell_scaling_fair/runs/fold0_seed14_P8_C100_xgboost.npz,
fold0_seed15_P8_C100_logistic_regression_coarse,0,15,8,100,logistic_regression,coarse,2026-09-08T16:33:51.857989+00:00,2026-09-08T16:33:53.651669+00:00,success,outputs/patient_cell_scaling_fair/logs/fold0_seed15_P8_C100_logistic_regression.log,outputs/patient_cell_scaling_fair/runs/fold0_seed15_P8_C100_logistic_regression.npz,
