model,task,metric,design,fixed_axis,fixed_value,low_patient_budget,low_cells_per_patient,high_patient_budget,high_cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.007570610156039636,0.005643017478788792,-0.001340338948335186,0.01666362744259015,0.85,0.003073549867919527,0.012439562890429034
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.00770752138333221,0.0037057659866164554,-6.234288201111254e-05,0.012322611492453282,0.95,,
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.004537940806743618,0.004456943533786082,-0.002017619685354133,0.012704773857229422,0.8,0.0014566754518997068,0.007654925816552846
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.004753354925357447,0.00354365923349169,-0.001882843746893438,0.009900730030780512,0.9,,
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.012108550962783255,0.006218821591626746,0.0009321266050943732,0.022984606471678486,0.95,0.004720145642301802,0.01923644776765704
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.012460876308689656,0.004398531610745439,0.004491684764148324,0.01931382337690845,1.0,,
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.00929382294515759,0.006494262448590122,-0.00032068959529764894,0.02183110017732111,0.95,0.004229827434041575,0.01401498293920115
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.009470792860417267,0.0044628750244699415,0.0002508304117804991,0.016597801246107418,0.95,,
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.006183711373523882,0.003944331806796903,-0.0016802385286465563,0.012147091640407542,0.9,0.0027019014309765097,0.01004160619232308
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.006410057912371684,0.0026896271560333425,0.0005023627197328782,0.010076126275123802,0.95,,
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.015477534318681471,0.006311818432095603,0.002881005872069517,0.026057084665053305,0.95,0.007664527590287093,0.023497138749672682
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.015880850772788946,0.0046582399179156435,0.005743243682638191,0.022609420192537658,1.0,,
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.010378762611839407,0.0074057788788486735,0.0010229731616637136,0.027553395136516497,1.0,0.005347734829951528,0.015783687729920285
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.011095597408661693,0.004509586951700958,0.004102906006776463,0.02066274838825177,1.0,,
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,0.00580074598642451,0.003714760327756324,-0.001507609711170585,0.011589605899523731,0.9,0.0022742108014207605,0.009530973526139032
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,0.00693935514159715,0.0033843491240775924,0.0011637029294532574,0.01235819820612602,0.95,,
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.016179508598263916,0.006412684686795628,0.00372841406494778,0.028530033946391174,1.0,0.00835097748257293,0.024547763459795986
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.018034952550258842,0.005050915070691075,0.010039967460741135,0.02693823196802937,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.011200752052262649,0.004735270572633038,0.0026913087707266413,0.01773946952969815,1.0,0.007985258522530302,0.014231126370515094
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.010880061846134239,0.004193679184132675,0.0030343996316005936,0.015792305285435678,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.017263062931680007,0.003694731617045924,0.010837371828220265,0.02353773481528206,1.0,0.013449961588674833,0.02092785458385392
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.0141592782592791,0.00296209623785949,0.00896330753558812,0.01942099695670461,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.01595940203886976,0.0048559507797943,0.009897570585335313,0.02518507153992493,1.0,0.011919100683235373,0.020186462127728386
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.01333403230464138,0.0039822731531654176,0.00605234098262108,0.020318919840109,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.014895335811020349,0.0034195256860427067,0.009649967493444631,0.02106438135629803,1.0,0.010734698480283718,0.01869148072669402
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.011680384217809559,0.0027545956900241362,0.006358964288413431,0.015971472914243327,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.016282234593536105,0.005281574685286347,0.007771290858361796,0.026025179803506368,1.0,0.011361173686761466,0.020476461450410318
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.012977847688770083,0.003809937845850806,0.005116366718153489,0.019009531787869457,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.011434081138338936,0.003387188794995717,0.004645380984766126,0.017419162754904665,1.0,0.006630390809348266,0.015860721180608443
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.010143593732031983,0.0030025407936652786,0.00439579451953602,0.01456027443371148,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.014927158097072016,0.007183221638332063,0.005634160757747605,0.02952136471353714,1.0,0.009210939195247004,0.020474050576157993
