scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,coarse,0.37415646461630336,0.2563366951198044,0.5795206474140286,0.03214355371892452,0.25515162635035676,5,5,800,66980,2380.65234375
outer_fold,fold0_seed00_P8_C100_logistic_regression,0,0,8,100,logistic_regression,fine,0.19123618990743504,0.07229007657415669,0.8614328820258379,0.05484703183174133,0.06766772607447964,27,25,800,66980,2380.65234375
outer_fold,fold0_seed00_P8_C100_xgboost,0,0,8,100,xgboost,coarse,0.4776201851298895,0.23238441896587564,20.251809638924897,2.1488210931420326,0.20657692821004253,5,5,800,66980,2614.7734375
outer_fold,fold0_seed00_P8_C100_xgboost,0,0,8,100,xgboost,fine,0.24764108689160944,0.06770448846572619,11.067963751964271,6.417804742231965,0.0592269184127181,27,25,800,66980,2614.7734375
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,coarse,0.35434458047178263,0.2590112680717491,0.37252760119736195,0.03155915066599846,0.2465977126142327,5,5,800,66980,1973.81640625
outer_fold,fold0_seed01_P8_C100_logistic_regression,0,1,8,100,logistic_regression,fine,0.18251716930426992,0.07420979333855096,0.4334180345758796,0.049008117988705635,0.06721914331959268,27,24,800,66980,1973.81640625
outer_fold,fold0_seed01_P8_C100_xgboost,0,1,8,100,xgboost,coarse,0.42296207823230814,0.24826217157246924,17.529044709168375,2.0807230845093727,0.23854482628351406,5,5,800,66980,2614.65234375
outer_fold,fold0_seed01_P8_C100_xgboost,0,1,8,100,xgboost,fine,0.2163780232905345,0.07973430576989714,7.19447435811162,5.907248206436634,0.06762246020631289,27,24,800,66980,2614.65234375
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,coarse,0.3720513586145118,0.26903305720795767,0.23223577719181776,0.028569824993610382,0.2609460500750646,5,4,800,66980,2379.32421875
outer_fold,fold0_seed02_P8_C100_logistic_regression,0,2,8,100,logistic_regression,fine,0.1747984472977008,0.07267950141762798,1.143850059248507,0.052270046435296535,0.06715898885898192,27,25,800,66980,2379.32421875
outer_fold,fold0_seed02_P8_C100_xgboost,0,2,8,100,xgboost,coarse,0.44338608539862645,0.2594173227902055,17.533138134516776,1.9276847019791603,0.25202371754704356,5,4,800,66980,2619.6328125
outer_fold,fold0_seed02_P8_C100_xgboost,0,2,8,100,xgboost,fine,0.22687369363989252,0.0740184011996267,9.438824828714132,6.234460910782218,0.06724256548689268,27,25,800,66980,2619.6328125
outer_fold,fold0_seed03_P8_C100_logistic_regression,0,3,8,100,logistic_regression,coarse,0.3399522245446402,0.2262709446489489,0.263625075109303,0.03198921401053667,0.2261689372017707,5,5,800,66980,2378.03125
outer_fold,fold0_seed03_P8_C100_logistic_regression,0,3,8,100,logistic_regression,fine,0.18635413556285457,0.06827237433546103,0.4569427967071533,0.04627674724906683,0.06584394870566776,27,24,800,66980,2378.03125
outer_fold,fold0_seed03_P8_C100_xgboost,0,3,8,100,xgboost,coarse,0.4588832487309645,0.2527730002355294,3.1437386786565185,2.0219221459701657,0.2443375630182719,5,5,800,66980,2614.7734375
outer_fold,fold0_seed03_P8_C100_xgboost,0,3,8,100,xgboost,fine,0.24911914004180352,0.07714830293312669,7.054777109995484,5.827913057990372,0.06723890050995468,27,24,800,66980,2614.7734375
outer_fold,fold0_seed04_P8_C100_logistic_regression,0,4,8,100,logistic_regression,coarse,0.3687220065691251,0.2566561905176555,0.48227307945489883,0.03338089771568775,0.2509309634651175,5,5,800,66980,2591.81640625
outer_fold,fold0_seed04_P8_C100_logistic_regression,0,4,8,100,logistic_regression,fine,0.18071065989847715,0.07633321791923706,0.6968177491798997,0.05254112929105759,0.06944907826218219,27,25,800,66980,2591.81640625
outer_fold,fold0_seed04_P8_C100_xgboost,0,4,8,100,xgboost,coarse,0.4553150194087787,0.2513849373967494,4.071209471672773,2.107546021230519,0.2336567237326181,5,5,800,66980,2614.65234375
outer_fold,fold0_seed04_P8_C100_xgboost,0,4,8,100,xgboost,fine,0.21943863839952224,0.07349419760650057,9.150389419868588,6.191591320559382,0.06353962133239245,27,25,800,66980,2614.65234375
outer_fold,fold0_seed05_P8_C100_logistic_regression,0,5,8,100,logistic_regression,coarse,0.3411764705882353,0.24487233125166066,0.3320462219417095,0.06632246915251017,0.23486161152395285,5,5,800,66980,2593.5078125
outer_fold,fold0_seed05_P8_C100_logistic_regression,0,5,8,100,logistic_regression,fine,0.18905643475664377,0.07078979133962224,1.014142264612019,0.058034502901136875,0.06459877736099744,27,26,800,66980,2593.5078125
outer_fold,fold0_seed05_P8_C100_xgboost,0,5,8,100,xgboost,coarse,0.45795759928336816,0.23815591744980527,4.863026329316199,2.063766305334866,0.2156564649726831,5,5,800,66980,2619.6328125
outer_fold,fold0_seed05_P8_C100_xgboost,0,5,8,100,xgboost,fine,0.22336518363690655,0.06571603695561828,10.422309225425124,6.457208147272468,0.05604897802664296,27,26,800,66980,2619.6328125
outer_fold,fold0_seed06_P8_C100_logistic_regression,0,6,8,100,logistic_regression,coarse,0.35083607046879667,0.24993245736239378,0.22628049086779356,0.03335585165768862,0.2395360220139227,5,5,800,66980,2380.65234375
outer_fold,fold0_seed06_P8_C100_logistic_regression,0,6,8,100,logistic_regression,fine,0.18626455658405494,0.07359021701013511,0.5097796805202961,0.0548532959073782,0.06788312242292839,27,25,800,66980,2380.65234375
outer_fold,fold0_seed06_P8_C100_xgboost,0,6,8,100,xgboost,coarse,0.4371454165422514,0.24248090843636766,3.235954557545483,2.049988890066743,0.22521666734057844,5,5,800,66980,2614.7734375
outer_fold,fold0_seed06_P8_C100_xgboost,0,6,8,100,xgboost,fine,0.22084204240071664,0.07592553901432107,7.362262759357691,6.044070641510189,0.06404270612327824,27,25,800,66980,2614.7734375
outer_fold,fold0_seed07_P8_C100_logistic_regression,0,7,8,100,logistic_regression,coarse,0.38629441624365485,0.25943693326624845,0.42305522691458464,0.03233516961336136,0.2551887173964735,5,5,800,66980,1973.81640625
outer_fold,fold0_seed07_P8_C100_logistic_regression,0,7,8,100,logistic_regression,fine,0.1858763810092565,0.07467244339089507,1.0313727017492056,0.0523126982152462,0.07201125253755862,27,23,800,66980,1973.81640625
outer_fold,fold0_seed07_P8_C100_xgboost,0,7,8,100,xgboost,coarse,0.4435951030158256,0.24964127622101628,4.433102018199861,2.052475837059319,0.23560204714029093,5,5,800,66980,2614.65234375
outer_fold,fold0_seed07_P8_C100_xgboost,0,7,8,100,xgboost,fine,0.23493580173186027,0.07231715728512683,9.234280655160546,5.835313918069005,0.06395527334575919,27,23,800,66980,2614.65234375
outer_fold,fold0_seed08_P8_C100_logistic_regression,0,8,8,100,logistic_regression,coarse,0.37748581666169007,0.2641763574104933,0.16418061964213848,0.02784430980682373,0.2604871887318847,5,4,800,66980,2379.32421875
outer_fold,fold0_seed08_P8_C100_logistic_regression,0,8,8,100,logistic_regression,fine,0.1925500149298298,0.08589795201132525,0.40433616656810045,0.05024714209139347,0.07333438287227995,27,24,800,66980,2379.32421875
outer_fold,fold0_seed08_P8_C100_xgboost,0,8,8,100,xgboost,coarse,0.4657211107793371,0.25597269071114825,3.1825165562331676,1.8843774124979973,0.2353528018502748,5,4,800,66980,2619.6328125
outer_fold,fold0_seed08_P8_C100_xgboost,0,8,8,100,xgboost,fine,0.22167811286951328,0.08442442805934397,7.484444416128099,5.9845827696844935,0.0673744653858962,27,24,800,66980,2619.6328125
outer_fold,fold0_seed09_P8_C100_logistic_regression,0,9,8,100,logistic_regression,coarse,0.36921469095252313,0.2616790824171911,0.2799121905118227,0.03397800121456385,0.26059574836826876,5,5,800,66980,2378.03125
outer_fold,fold0_seed09_P8_C100_logistic_regression,0,9,8,100,logistic_regression,fine,0.18618990743505523,0.07434291018463508,0.7057830523699522,0.05067095812410116,0.06595645083922487,27,25,800,66980,2378.03125
outer_fold,fold0_seed09_P8_C100_xgboost,0,9,8,100,xgboost,coarse,0.4493281576590027,0.24608846589713798,4.161645462736487,2.069229243323207,0.23990030898250922,5,5,800,66980,2614.7734375
outer_fold,fold0_seed09_P8_C100_xgboost,0,9,8,100,xgboost,fine,0.23224843236787102,0.07668087499564828,9.183064511977136,6.2123592514544725,0.0638515000791743,27,25,800,66980,2614.7734375
outer_fold,fold0_seed10_P8_C100_logistic_regression,0,10,8,100,logistic_regression,coarse,0.3446551209316214,0.25637047851647293,0.4840549863874912,0.029883005656301975,0.24748167475226884,5,5,800,66980,2591.81640625
outer_fold,fold0_seed10_P8_C100_logistic_regression,0,10,8,100,logistic_regression,fine,0.2025977903851896,0.07772069884059099,0.5834441287443042,0.041975160129368305,0.07378170331254677,27,24,800,66980,2591.81640625
outer_fold,fold0_seed10_P8_C100_xgboost,0,10,8,100,xgboost,coarse,0.47396237682890413,0.26684256622393343,4.086550848558545,2.0852891840040684,0.2578486440068821,5,5,800,66980,2614.65234375
outer_fold,fold0_seed10_P8_C100_xgboost,0,10,8,100,xgboost,fine,0.22994923857868022,0.08443363198200612,9.038318127393723,6.080612046644092,0.07395359106367276,27,24,800,66980,2614.65234375
outer_fold,fold0_seed11_P8_C100_logistic_regression,0,11,8,100,logistic_regression,coarse,0.41198865332935203,0.27551522918123583,0.46031923685222864,0.0317283570766449,0.2741022008123837,5,5,800,66980,2593.5078125
outer_fold,fold0_seed11_P8_C100_logistic_regression,0,11,8,100,logistic_regression,fine,0.21161540758435354,0.07637141326539486,0.7182750329375267,0.051035682670772076,0.0730277896893608,27,25,800,66980,2593.5078125
outer_fold,fold0_seed11_P8_C100_xgboost,0,11,8,100,xgboost,coarse,0.5032845625559869,0.273577953759139,3.7353559909388423,2.0301950611174107,0.265567756303111,5,5,800,66980,2619.6328125
outer_fold,fold0_seed11_P8_C100_xgboost,0,11,8,100,xgboost,fine,0.2604210212003583,0.07842778374064426,8.694488630630076,6.240114539861679,0.06937993877388782,27,25,800,66980,2619.6328125
outer_fold,fold0_seed12_P8_C100_logistic_regression,0,12,8,100,logistic_regression,coarse,0.35376231710958495,0.25206383442295566,0.28626601211726665,0.0315302275121212,0.2443848532644463,5,5,800,66980,2380.65234375
outer_fold,fold0_seed12_P8_C100_logistic_regression,0,12,8,100,logistic_regression,fine,0.1703493580173186,0.06639829137388384,1.106366703286767,0.050170134752988815,0.06199310229788381,27,25,800,66980,2380.65234375
outer_fold,fold0_seed12_P8_C100_xgboost,0,12,8,100,xgboost,coarse,0.4579426694535682,0.2280048502906958,4.308996204286814,2.071567162871361,0.20822889999539548,5,5,800,66980,2614.7734375
outer_fold,fold0_seed12_P8_C100_xgboost,0,12,8,100,xgboost,fine,0.221752762018513,0.06762800460627458,9.394786045886576,6.236394722945988,0.06006153380729163,27,25,800,66980,2614.7734375
outer_fold,fold0_seed13_P8_C100_logistic_regression,0,13,8,100,logistic_regression,coarse,0.3333084502836668,0.2517340591585509,0.24322745483368635,0.03201362770050764,0.24023083698460904,5,5,800,66980,1973.81640625
outer_fold,fold0_seed13_P8_C100_logistic_regression,0,13,8,100,logistic_regression,fine,0.1885786802030457,0.06998310456835734,0.441218432970345,0.05052553489804268,0.06711098330015014,27,25,800,66980,1973.81640625
