seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
0,8,100,logistic_regression,coarse,0.35127366000353794,0.24795365189377855,0.25856474181970157,0.3640238129697552,0.2514153924305542,0.25829329665720985,0.22694026745209323,0.12598399080134443,0.26791498982840967,2.89767048469839,4.8,4,5,40,361792
0,8,100,logistic_regression,fine,0.18455631965328145,0.06979242215185699,0.07052986688062825,0.19696896815344372,0.06898767257496853,0.06902969698413641,0.041611460899966826,0.12598399080134443,0.26791498982840967,2.89767048469839,24.0,22,5,40,361792
0,8,100,xgboost,coarse,0.43112617194410047,0.24607618515365023,0.2570493942687665,0.44149253997614535,0.24684095884416468,0.2567258636434263,0.2170269148172707,0.1618747788784716,0.33679158190341413,2.721127056430214,4.8,4,5,40,361792
0,8,100,xgboost,fine,0.24245699186272776,0.07328930421254533,0.0788032352719527,0.25521922425259985,0.07172509749132248,0.07577885861691042,0.040223111307418284,0.1618747788784716,0.33679158190341413,2.721127056430214,24.0,22,5,40,361792
1,8,100,logistic_regression,coarse,0.3521139218114276,0.24789055213237488,0.25849819815966796,0.3587758523906734,0.24749548218482875,0.2544806241576765,0.22468327105408364,0.1248452149301256,0.26797718025826994,2.9078144348133734,5.0,5,5,40,361792
1,8,100,logistic_regression,fine,0.18384043870511232,0.07312198944681388,0.07419106796374961,0.19165941338067258,0.07073541812144914,0.0707246131949546,0.041945522136867315,0.1248452149301256,0.26797718025826994,2.9078144348133734,24.6,24,5,40,361792
1,8,100,xgboost,coarse,0.4195089996462055,0.24499516657731402,0.2550782048797874,0.42870437375396586,0.24576994248298423,0.25435587582015995,0.22169279671507197,0.15662037856005662,0.32520895984433046,2.7646161330267116,5.0,5,5,40,361792
1,8,100,xgboost,fine,0.23090892004245533,0.07175673780893518,0.07715669821881413,0.24278970285882262,0.07082831560574153,0.07489056000186178,0.040182901294640014,0.15662037856005662,0.32520895984433046,2.7646161330267116,24.6,24,5,40,361792
2,8,100,logistic_regression,coarse,0.3639411595612949,0.2569900854251138,0.2632368230637439,0.3687481599353709,0.255724280498689,0.2607114865586,0.2351998705354612,0.12832511498319477,0.278304937643729,2.8564589598443306,4.6,4,5,40,361792
2,8,100,logistic_regression,fine,0.1926687157261631,0.07389119960291525,0.07540803306994875,0.20218652322814634,0.07201353960082614,0.07286742269473573,0.04257411288223943,0.12832511498319477,0.278304937643729,2.8564589598443306,24.4,22,5,40,361792
2,8,100,xgboost,coarse,0.4385033389350787,0.2546103099947935,0.2657772573198415,0.44161108835139,0.2540862361071744,0.2630537287397586,0.22794497351235243,0.16777319564832832,0.3378861334689545,2.7321720767733946,4.6,4,5,40,361792
2,8,100,xgboost,fine,0.23726892800283036,0.07339445017590569,0.07859622105251347,0.24844393713670582,0.07202733148029526,0.07618560949422949,0.03897081383852994,0.16777319564832832,0.3378861334689545,2.7321720767733946,24.4,22,5,40,361792
3,8,100,logistic_regression,coarse,0.36668306651335575,0.2508501401026849,0.25786413827429866,0.3627907779042382,0.24602495711341196,0.2508084575918797,0.22876125805165062,0.13231635857067045,0.2787610007960375,2.8720811958252255,4.8,4,5,40,361792
