outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,0,8,100,coarse,0,B,8,73,True
0,0,8,100,coarse,1,Myeloid,8,116,True
0,0,8,100,coarse,2,NK,8,189,True
0,0,8,100,coarse,3,Other,4,4,True
0,0,8,100,coarse,4,T,8,418,True
0,0,8,100,fine,0,Atypical Memory B,2,2,True
0,0,8,100,fine,1,CD14 Monocyte-1,6,59,True
0,0,8,100,fine,2,CD14 Monocyte-2,3,5,True
0,0,8,100,fine,3,CD14 Monocyte-3,0,0,False
0,0,8,100,fine,4,CD16 Monocyte-1,6,28,True
0,0,8,100,fine,5,CD16 Monocyte-2,5,9,True
0,0,8,100,fine,6,CD16 NK,8,134,True
0,0,8,100,fine,7,CD4 + Tcm-1,8,231,True
0,0,8,100,fine,8,CD4 + Tcm-2,7,32,True
0,0,8,100,fine,9,CD4 Monocyte-4,2,2,True
0,0,8,100,fine,10,CD56 NK,5,55,True
0,0,8,100,fine,11,CD8 + CTL-1,4,14,True
0,0,8,100,fine,12,CD8 + CTL-2,1,2,True
0,0,8,100,fine,13,CD8 + CTL-3,2,6,True
0,0,8,100,fine,14,CD8 Tem-1,7,65,True
0,0,8,100,fine,15,CD8 Tem-2,8,30,True
0,0,8,100,fine,16,Cycling T,5,11,True
0,0,8,100,fine,17,Erythrocyte,0,0,False
0,0,8,100,fine,18,GCB,2,5,True
0,0,8,100,fine,19,Memory B-1,8,56,True
0,0,8,100,fine,20,Memory B-2,2,6,True
0,0,8,100,fine,21,Naive T,5,25,True
0,0,8,100,fine,22,Plasma,3,4,True
0,0,8,100,fine,23,Tcm,1,2,True
0,0,8,100,fine,24,cDC2,6,9,True
0,0,8,100,fine,25,pDC,3,4,True
0,0,8,100,fine,26,platelet,4,4,True
0,1,8,100,coarse,0,B,8,49,True
0,1,8,100,coarse,1,Myeloid,8,183,True
0,1,8,100,coarse,2,NK,8,231,True
0,1,8,100,coarse,3,Other,1,2,True
0,1,8,100,coarse,4,T,8,335,True
0,1,8,100,fine,0,Atypical Memory B,3,3,True
0,1,8,100,fine,1,CD14 Monocyte-1,8,90,True
0,1,8,100,fine,2,CD14 Monocyte-2,6,8,True
0,1,8,100,fine,3,CD14 Monocyte-3,1,2,True
0,1,8,100,fine,4,CD16 Monocyte-1,7,43,True
0,1,8,100,fine,5,CD16 Monocyte-2,6,14,True
0,1,8,100,fine,6,CD16 NK,8,190,True
0,1,8,100,fine,7,CD4 + Tcm-1,8,179,True
0,1,8,100,fine,8,CD4 + Tcm-2,4,10,True
0,1,8,100,fine,9,CD4 Monocyte-4,1,3,True
0,1,8,100,fine,10,CD56 NK,6,41,True
0,1,8,100,fine,11,CD8 + CTL-1,2,9,True
0,1,8,100,fine,12,CD8 + CTL-2,1,7,True
0,1,8,100,fine,13,CD8 + CTL-3,1,2,True
0,1,8,100,fine,14,CD8 Tem-1,6,77,True
0,1,8,100,fine,15,CD8 Tem-2,8,19,True
0,1,8,100,fine,16,Cycling T,6,11,True
0,1,8,100,fine,17,Erythrocyte,0,0,False
0,1,8,100,fine,18,GCB,0,0,False
0,1,8,100,fine,19,Memory B-1,8,40,True
0,1,8,100,fine,20,Memory B-2,1,1,True
0,1,8,100,fine,21,Naive T,8,21,True
0,1,8,100,fine,22,Plasma,3,5,True
0,1,8,100,fine,23,Tcm,0,0,False
0,1,8,100,fine,24,cDC2,7,16,True
0,1,8,100,fine,25,pDC,5,7,True
0,1,8,100,fine,26,platelet,1,2,True
