method,loss,seed,task,score
raw,ce,1701,fine,0.12392269580863988
raw,ce,1701,coarse,0.33061404482226725
raw,ce,1702,fine,0.12114595693712599
raw,ce,1702,coarse,0.32725679742915165
raw,ce,1703,fine,0.11496899185580949
raw,ce,1703,coarse,0.3249637046459723
raw,balanced,1701,fine,0.09968810587623482
raw,balanced,1701,coarse,0.30896597774955026
raw,balanced,1702,fine,0.10892664790497392
raw,balanced,1702,coarse,0.3138444890548337
raw,balanced,1703,fine,0.105367229494801
raw,balanced,1703,coarse,0.3079929212459448
centered,ce,1701,fine,0.12024678184401216
centered,ce,1701,coarse,0.31645322027627093
centered,ce,1702,fine,0.11644079718026228
centered,ce,1702,coarse,0.3211739526606495
centered,ce,1703,fine,0.12154358488012361
centered,ce,1703,coarse,0.3161944036281912
centered,balanced,1701,fine,0.11728445498545144
centered,balanced,1701,coarse,0.3070358445280591
centered,balanced,1702,fine,0.11512431865985708
centered,balanced,1702,coarse,0.30970685940805376
centered,balanced,1703,fine,0.11708429221143925
centered,balanced,1703,coarse,0.2999664174545637
global_context,ce,1701,fine,0.13453308006752324
global_context,ce,1701,coarse,0.3477864288502883
global_context,ce,1702,fine,0.1243215973106742
global_context,ce,1702,coarse,0.340586644517332
global_context,ce,1703,fine,0.1353227877973298
global_context,ce,1703,coarse,0.3431694865637773
global_context,balanced,1701,fine,0.12751818601007073
global_context,balanced,1701,coarse,0.3276039247233113
global_context,balanced,1702,fine,0.12454023543794085
global_context,balanced,1702,coarse,0.3265041074011477
global_context,balanced,1703,fine,0.11553821422925527
global_context,balanced,1703,coarse,0.31297319794166234
soft_context,ce,1701,fine,0.12630904936126786
soft_context,ce,1701,coarse,0.3476798091757201
soft_context,ce,1702,fine,0.1146485749395337
soft_context,ce,1702,coarse,0.33184509566608844
soft_context,ce,1703,fine,0.11861516642800997
soft_context,ce,1703,coarse,0.3510798862869068
soft_context,balanced,1701,fine,0.1226801183335211
soft_context,balanced,1701,coarse,0.318258000178273
soft_context,balanced,1702,fine,0.10162916663144339
soft_context,balanced,1702,coarse,0.30070960180514095
soft_context,balanced,1703,fine,0.11068216404068186
soft_context,balanced,1703,coarse,0.29729436597957093
hierarchy_uniform,ce,1701,fine,0.13422558943024268
hierarchy_uniform,ce,1701,coarse,0.3475253447689897
hierarchy_uniform,ce,1702,fine,0.13202246560716502
hierarchy_uniform,ce,1702,coarse,0.33877761210416746
hierarchy_uniform,ce,1703,fine,0.1283253834062957
hierarchy_uniform,ce,1703,coarse,0.34465363225936985
hierarchy_uniform,balanced,1701,fine,0.12886578107550747
hierarchy_uniform,balanced,1701,coarse,0.3252851836757725
hierarchy_uniform,balanced,1702,fine,0.11984640898825988
hierarchy_uniform,balanced,1702,coarse,0.31988124352739195
hierarchy_uniform,balanced,1703,fine,0.11711617805103999
hierarchy_uniform,balanced,1703,coarse,0.3132798425344948
hierarchy_reliable,ce,1701,fine,0.1435996363881854
hierarchy_reliable,ce,1701,coarse,0.34280986070456887
hierarchy_reliable,ce,1702,fine,0.1322184653618358
hierarchy_reliable,ce,1702,coarse,0.3427090903004283
hierarchy_reliable,ce,1703,fine,0.13017689907422533
hierarchy_reliable,ce,1703,coarse,0.33895909520770673
hierarchy_reliable,balanced,1701,fine,0.12250693804357739
hierarchy_reliable,balanced,1701,coarse,0.33095752137889733
hierarchy_reliable,balanced,1702,fine,0.1057399576533301
hierarchy_reliable,balanced,1702,coarse,0.3154965086516272
hierarchy_reliable,balanced,1703,fine,0.12360645148057196
hierarchy_reliable,balanced,1703,coarse,0.32649563228798406
