method,loss,task,comparison,estimate,low,high
raw,ce,fine,score,0.12001254820052511,0.07558866790882222,0.1290493351842038
raw,ce,coarse,score,0.3276115156324637,0.3036431664451793,0.3540393343662815
raw,balanced,fine,score,0.10466066109200324,0.07093703046224582,0.11557058541347336
raw,balanced,coarse,score,0.31026779601677623,0.28188346285547056,0.3386828140786084
centered,ce,fine,score,0.11941038796813269,0.0707878955219726,0.13042816107068902
centered,ce,coarse,score,0.3179405255217039,0.2979889636555614,0.34116555170113094
centered,balanced,fine,score,0.11649768861891592,0.07167394864866235,0.12862988632410619
centered,balanced,coarse,score,0.3055697071302255,0.284364035990124,0.32643001679642164
global_context,ce,fine,score,0.13139248839184242,0.08161943382574062,0.1432307577626671
global_context,ce,coarse,score,0.34384751997713253,0.31786201630961763,0.3681677669502326
global_context,balanced,fine,score,0.12253221189242229,0.07644961992213038,0.13267012263716732
global_context,balanced,coarse,score,0.32236041002204047,0.29349771151602644,0.3456662007989136
soft_context,ce,fine,score,0.11985759690960385,0.08014246451814956,0.1281026945499929
soft_context,ce,coarse,score,0.34353493037623845,0.306559456386211,0.3721665612553804
soft_context,balanced,fine,score,0.11166381633521545,0.07199152915887592,0.1253418917159464
soft_context,balanced,coarse,score,0.3054206559876616,0.2720902601515159,0.33943947221164733
hierarchy_uniform,ce,fine,score,0.13152447948123447,0.08245762110113655,0.14146065482273895
hierarchy_uniform,ce,coarse,score,0.343652196377509,0.32084195427842005,0.3638054445958662
hierarchy_uniform,balanced,fine,score,0.12194278937160245,0.07740232064443574,0.13178857965551843
hierarchy_uniform,balanced,coarse,score,0.3194820899125531,0.2941968398335366,0.3365319847658306
hierarchy_reliable,ce,fine,score,0.13533166694141552,0.08164351271023602,0.14625171933770362
hierarchy_reliable,ce,coarse,score,0.3414926820709013,0.31852572471037577,0.36175230883682147
hierarchy_reliable,balanced,fine,score,0.11728444905915981,0.07901049935912483,0.12673044009556408
hierarchy_reliable,balanced,coarse,score,0.32431655410616955,0.2955650587337791,0.34299338160713566
raw,ce,fine,minus_global_context,-0.011379940191317314,-0.021657341221899298,-0.0017613765404721528
raw,ce,fine,minus_soft_context,0.0001549512909212597,-0.01018487012316316,0.008700088023905397
raw,ce,fine,minus_hierarchy_uniform,-0.011511931280709362,-0.01679657795937642,-0.0026441798348136964
raw,ce,coarse,minus_global_context,-0.01623600434466882,-0.029683973587907943,-0.003808924783932916
raw,ce,coarse,minus_soft_context,-0.015923414743774733,-0.03121867100629912,0.0019144577007027168
raw,ce,coarse,minus_hierarchy_uniform,-0.016040680745045277,-0.03028192143930377,-0.002249939523622478
raw,balanced,fine,minus_global_context,-0.01787155080041905,-0.03018877221143136,0.0031044790293551124
