task,model,comparison,estimate,hvg,low,high,seed_values
coarse,sgd,rna,0.7719990074038563,5000,,,
coarse,sgd,apt,0.2687509290468096,5000,,,
coarse,sgd,rna_apt,0.7766595919899224,5000,,,
coarse,sgd,rna_noise,0.772713783480807,5000,,,
coarse,sgd,rna_shuffled_apt,0.776861309372737,5000,,,
coarse,sgd,rna_apt-minus-rna,0.004660584586065997,5000,0.0016322171962845613,0.007871317296352359,"[0.0030475237112518316, 0.006188442424484686, 0.0047457876224614726]"
coarse,sgd,rna_apt-minus-rna_noise,0.003945808509115301,5000,0.0013475825751015867,0.006678978840105082,"[0.004259691841813962, 0.0035652149044351766, 0.004012518781096763]"
coarse,sgd,rna_apt-minus-rna_shuffled_apt,-0.00020171738281475152,5000,-0.003614602631748015,0.0030875580185645863,"[-0.0027898620096722393, 0.0024346343851683327, -0.00024992452394034803]"
coarse,mlp,rna,0.872802451826093,5000,,,
coarse,mlp,apt,0.3102141997215697,5000,,,
coarse,mlp,rna_apt,0.8813611991876997,5000,,,
coarse,mlp,rna_noise,0.8755647674588216,5000,,,
coarse,mlp,rna_shuffled_apt,0.8782792808457381,5000,,,
coarse,mlp,rna_apt-minus-rna,0.008558747361606778,5000,0.0035630183053221485,0.014391551205178857,"[0.007642092022535407, 0.00992702279700941, 0.008107127265275516]"
coarse,mlp,rna_apt-minus-rna_noise,0.005796431728878115,5000,0.0011900377983224122,0.011347577636199549,"[0.006808710213700997, 0.008008307488235777, 0.0025722774846975716]"
coarse,mlp,rna_apt-minus-rna_shuffled_apt,0.003081918341961735,5000,-0.0007749236045704229,0.008486921326620666,"[0.006443722742238589, 0.00117156546855679, 0.001630466815089826]"
fine,sgd,rna,0.45647840786178934,5000,,,
fine,sgd,apt,0.08863994670767938,5000,,,
fine,sgd,rna_apt,0.4782210217318377,5000,,,
fine,sgd,rna_noise,0.4370928518314945,5000,,,
fine,sgd,rna_shuffled_apt,0.4683516124270626,5000,,,
fine,sgd,rna_apt-minus-rna,0.02174261387004837,5000,0.010421546372852605,0.03393216968466876,"[0.018059309794548006, 0.021815083593262896, 0.025353448222334207]"
fine,sgd,rna_apt-minus-rna_noise,0.04112816990034329,5000,0.02752006155490976,0.05370430085249293,"[0.03663195659378932, 0.0410454373168031, 0.04570711579043746]"
fine,sgd,rna_apt-minus-rna_shuffled_apt,0.009869409304775145,5000,-8.15653401629146e-05,0.01876023397062359,"[0.005761331853020302, 0.015672020153474076, 0.008174875907831058]"
fine,mlp,rna,0.5956685253249884,5000,,,
fine,mlp,apt,0.09302327717988197,5000,,,
fine,mlp,rna_apt,0.6121350328944755,5000,,,
fine,mlp,rna_noise,0.5856034182212937,5000,,,
fine,mlp,rna_shuffled_apt,0.6056369695076459,5000,,,
fine,mlp,rna_apt-minus-rna,0.016466507569486977,5000,0.009308363584861477,0.028904192115933237,"[0.017997088582222376, 0.016735642121308292, 0.014666792004930262]"
fine,mlp,rna_apt-minus-rna_noise,0.02653161467318173,5000,0.014494763016286211,0.03961703678586046,"[0.018406485663141403, 0.030428434275846072, 0.03075992408055772]"
fine,mlp,rna_apt-minus-rna_shuffled_apt,0.006498063386829418,5000,3.91702214297907e-05,0.016265973780499425,"[0.0032271499607423593, 0.005510677441565082, 0.010756362758180815]"
