level,label,method,mae,bias,prevalence,centered_mae
lineage,B,constant,0.043749193748164564,-1.1449174941446926e-17,0.07902209480537434,0.043749193748164564
lineage,B,soft,0.03418623650058194,-1.6827086103977233e-05,0.07902209480537434,0.03419128462641313
lineage,B,direct,0.040736556686851645,0.0043729432554695915,0.07902209480537434,0.03991718734854157
lineage,Myeloid,constant,0.08428539311487225,-3.95516952522712e-17,0.20828872049912586,0.08428539311487225
lineage,Myeloid,soft,0.09250004020291477,0.004115363356045304,0.20828872049912586,0.0922942720351125
lineage,Myeloid,direct,0.07188119616370095,-0.004167425248173627,0.20828872049912586,0.0722979386885183
lineage,NK,constant,0.07365806791773813,2.5673907444456746e-17,0.2565230222712488,0.07365806791773813
lineage,NK,soft,0.07084398688581943,-0.0025861037897197585,0.2565230222712488,0.07084398688581943
lineage,NK,direct,0.07397335685020431,0.00010662921562485938,0.2565230222712488,0.07397335685020431
lineage,Other,constant,0.002704733416862945,3.2526065174565133e-19,0.00308746177963755,0.002704733416862945
lineage,Other,soft,0.0020032104088363,-0.0013245852166441597,0.00308746177963755,0.002062793980860448
lineage,Other,direct,0.0023009516979904956,0.0003157846335803075,0.00308746177963755,0.0022952021504945323
lineage,T,constant,0.07034809945789677,-1.2490009027033011e-17,0.4530787006446134,0.07034809945789677
lineage,T,soft,0.09182199561913951,-0.0001878473711088985,0.4530787006446134,0.09182199561913951
lineage,T,direct,0.07730169165645968,-0.0006279181369554437,0.4530787006446134,0.07739587937700299
subtype,Atypical Memory B,constant,0.0013071590915639433,-3.794707603699265e-20,0.0013349867594586828,0.0013071590915639433
subtype,Atypical Memory B,soft,0.000866955661987906,-0.0006228589652331666,0.0013349867594586828,0.0009156844804786874
subtype,Atypical Memory B,direct,0.0008585209552537368,-0.0002316797572395557,0.0013349867594586828,0.0008351888321575516
subtype,CD14 Monocyte-1,constant,0.04786220305100204,-1.3877787807814458e-18,0.09126242509091721,0.04786220305100204
subtype,CD14 Monocyte-1,soft,0.044714237334308474,0.005323610715634135,0.09126242509091721,0.04429465032932108
