fold,seed,method,task,score
0,1701,supervised,fine,0.12019738883165522
0,1701,supervised,coarse,0.3304049519429061
0,1701,kd,fine,0.12255348054893865
0,1701,kd,coarse,0.33413298223635524
0,1701,confidence,fine,0.11950715985872686
0,1701,confidence,coarse,0.3327997775250731
0,1701,projection,fine,0.1219788110360226
0,1701,projection,coarse,0.3378396552003196
0,1701,shrink,fine,0.1242249952934723
0,1701,shrink,coarse,0.33802773038550804
0,1701,lineage,fine,0.12403038286204374
0,1701,lineage,coarse,0.33738751601833805
0,1702,supervised,fine,0.12037812080312733
0,1702,supervised,coarse,0.32870106724581233
0,1702,kd,fine,0.12231148715886714
0,1702,kd,coarse,0.32405205414623256
0,1702,confidence,fine,0.12182255952485799
0,1702,confidence,coarse,0.32617891053186604
0,1702,projection,fine,0.12667051985326477
0,1702,projection,coarse,0.33426041594293643
0,1702,shrink,fine,0.126840012463992
0,1702,shrink,coarse,0.33460056958529527
0,1702,lineage,fine,0.12292503588926325
0,1702,lineage,coarse,0.32951148639954386
0,1703,supervised,fine,0.11795265249112667
0,1703,supervised,coarse,0.32336916327720044
0,1703,kd,fine,0.12134443018250929
0,1703,kd,coarse,0.3286317665700934
0,1703,confidence,fine,0.12323471841963352
0,1703,confidence,coarse,0.33095936545040516
0,1703,projection,fine,0.12108337866272502
0,1703,projection,coarse,0.329552146025285
0,1703,shrink,fine,0.1249374205843573
0,1703,shrink,coarse,0.3291132327799601
0,1703,lineage,fine,0.12137009186765271
0,1703,lineage,coarse,0.3279534398915038
