task,comparison,estimate,low,high,bootstrap_positive_fraction
fine,supervised,0.11950938737530307,0.07393496035078746,0.1264847177565276,
fine,kd,0.1220697992967717,0.07403830098143743,0.12846214059717717,
fine,confidence,0.12152147926773944,0.07372293887203901,0.12847751463014068,
fine,projection,0.12324423651733746,0.07173560670399191,0.13062910530929506,
fine,shrink,0.1253341427806072,0.07409856480102263,0.1318212984286303,
fine,lineage,0.1227751702063199,0.07384900028700286,0.12889838525249717,
fine,kd-minus-supervised,0.002560411921468622,-0.0021008668666489764,0.004588434986872779,0.7815
fine,confidence-minus-supervised,0.0020120918924363684,-0.0032267441143944775,0.004890259459677014,0.68
fine,confidence-minus-kd,-0.0005483200290322537,-0.0029447696249500265,0.002063432626198413,0.34
fine,projection-minus-supervised,0.0037348491420343827,-0.0036599711164056214,0.006837670408966267,0.6735
fine,projection-minus-kd,0.0011744372205657605,-0.003128816293048532,0.0042360528834631496,0.508
fine,shrink-minus-supervised,0.0058247554053041245,-0.002238084208126566,0.008349530990653076,0.8435
fine,shrink-minus-kd,0.0032643434838355023,-0.0009354387685449505,0.005079727038939872,0.872
fine,lineage-minus-supervised,0.0032657828310168197,-0.0020622902799954843,0.005079562129778003,0.785
fine,lineage-minus-kd,0.0007053709095481975,-0.0013882814732896515,0.00237710243504239,0.6515
coarse,supervised,0.3274917274886396,0.30228308251903657,0.3512400516171793,
coarse,kd,0.32893893431756044,0.30069564112342806,0.35428864206360255,
coarse,confidence,0.32997935116911475,0.3033774190959891,0.35410488418121305,
coarse,projection,0.33388407238951373,0.3054462747947719,0.35987985863757016,
coarse,shrink,0.3339138442502545,0.3050275241326523,0.3593945604794166,
coarse,lineage,0.3316174807697952,0.3028326157803077,0.3578958316524829,
coarse,kd-minus-supervised,0.001447206828920855,-0.006483005095794819,0.007223263265824745,0.6745
coarse,confidence-minus-supervised,0.0024876236804751706,-0.005314997263817486,0.008933376148451626,0.767
coarse,confidence-minus-kd,0.0010404168515543155,-0.0026243222289497005,0.004866734671401144,0.713
coarse,projection-minus-supervised,0.006392344900874147,-0.0017806149715934665,0.013674376965032453,0.9345
coarse,projection-minus-kd,0.004945138071953292,-0.0031210669781413665,0.01592439998944635,0.878
coarse,shrink-minus-supervised,0.0064221167616149155,-0.0009794843668902722,0.01383595395796644,0.954
coarse,shrink-minus-kd,0.0049749099326940605,-0.0015913797337469351,0.015246184746013178,0.9085
coarse,lineage-minus-supervised,0.004125753281155609,-0.002004363517557092,0.010022683513839612,0.902
coarse,lineage-minus-kd,0.0026785464522347535,-0.001019543496754359,0.006603794305829753,0.911
