sample_id,disease,n_cells,median_log1p_nCount_RNA,median_log1p_nFeature_RNA,median_feature_count_ratio,iqr_log1p_nCount_RNA,iqr_log1p_nFeature_RNA,log_n_cells
CRC11,CRC,7469,7.309212365692763,6.703188113240863,0.5351145038167939,0.48835276791393234,0.36860351480400677,8.918516400357067
CRC13,CRC,5062,7.020190708311925,6.495265555937008,0.5937757583477178,0.49954106989968583,0.3616010622747883,8.529516941105069
CRC16,CRC,7478,8.48322265043904,7.566311014772463,0.38603962281215887,1.0408727395989192,0.7657549521434781,8.91972065553706
CRC17,CRC,6427,8.429672593886743,7.502186486602924,0.3936127744510978,1.3261575824146608,0.9662161033914982,8.768263145371286
CRC22,CRC,5203,6.976348070447749,6.455198563340122,0.593812375249501,0.43821872593848354,0.31600254923923643,8.556990661290303
CRC23,CRC,6110,7.075386030972215,6.540307977403787,0.586483856409485,0.5634200989985931,0.40888391485694964,8.71768205216564
CRC24,CRC,7254,7.146772179452637,6.590301048196686,0.5707414277253064,0.5147318787330555,0.3788113681816574,8.889308319842847
CRC25,CRC,7233,7.404279118037268,6.849066282633458,0.5605026929982047,0.502526820951295,0.36419609399756947,8.886409166849282
GC28_P_cDNA,GC,7320,7.242082359256962,6.683360945766275,0.5599773755656109,0.5037584565428981,0.37313202547320046,8.898365606955357
GC29_P_cDNA,GC,5117,6.911747300251674,6.492239835020471,0.6585067319461444,0.48119382615962003,0.36213703134462705,8.540323608805092
GC2_P_cDNA,GC,4443,6.894670039433482,6.440946540632921,0.6406429391504018,0.4209692168379462,0.320093344537173,8.399085102935908
GC30_P_cDNA,GC,7164,7.121252453244542,6.630683385642372,0.6078937290321913,0.4507390176628103,0.35312974760130356,8.876823763180603
GC31_P_cDNA,GC,7103,7.064759027791802,6.566672429803241,0.5955819881053526,0.4186164807969819,0.32928046452656456,8.86827250899781
GC32_P_cDNA,GC,7179,7.199678345691172,6.648984550024776,0.5661881977671451,0.5019218365077283,0.37620974995937484,8.878915376576483
GC36_P_cDNA,GC,7234,7.237059026124737,6.716594773520978,0.5840926552360738,0.46246219779915165,0.35498575434788826,8.886547412512042
HCC-1,HCC,7055,7.226209010100671,6.699500340161678,0.5845620121422377,0.5366597912863407,0.39366556117700924,8.861491864286915
HCC-2-1_1,HCC,6913,7.102499355774649,6.602587892189336,0.6065798492117889,0.5385623787375904,0.3940921179358945,8.841158975945264
HCC-2-2,HCC,7179,7.283448228756631,6.726233402358747,0.5686630369026013,0.5656444108559153,0.41787576859450315,8.878915376576483
HCC-22,HCC,7019,7.733245646529795,7.033506484287697,0.4873217115689382,0.36169027905446516,0.2803459421118619,8.856376036730422
HCC-24,HCC,7039,7.818027938530729,7.052721049232323,0.4538799414348463,0.40418959773115226,0.30392862282109245,8.85922139360813
HCC-3-1_2,HCC,7198,7.472500744737558,6.840546529288687,0.5308527062001782,0.5838163898001048,0.4240939279416578,8.881558488638976
HCC-3-2_1,HCC,7285,7.2991214627108,6.71174039505618,0.5505488157134605,0.5292710236188025,0.3967314281394101,8.893572718629306
PBMC-1,Normal,22144,8.393442383980062,7.582738488914411,0.432297985403055,0.6902002791872714,0.5080200951736238,10.005321858417396
PBMC-2,Normal,16302,8.742494410098026,7.784473235736469,0.3774025396927173,0.7357853711380233,0.527622866950102,9.699043078654404
PBMC-3,Normal,21398,8.798605650854423,7.848933726364071,0.37497857074170193,0.6439595214745459,0.45262490959141477,9.971052738698551
PBMC-4,Normal,22627,8.69751274553952,7.822044008185619,0.4035788024776325,0.6621068048788157,0.449931093103495,10.026899162451327
PBMC-5,Normal,19153,8.690305809124883,7.785305182539862,0.3969519015659955,0.6208520346448125,0.4359939753052062,9.860214640302662
PBMC-6,Normal,15164,8.566935283311052,7.67275789664251,0.4084836599070901,0.5510587540024421,0.40076474692783215,9.626679476636225
PC-1,PC,17977,7.0925737159746784,6.519147287940395,0.5634765625,0.5131028217275873,0.3714442318097051,9.796848442046416
PC-2,PC,1929,6.866933284461882,6.376726947898627,0.6199040767386091,0.3393974731560876,0.2253715507505225,7.564757012905729
PC-3,PC,4981,6.839476438228843,6.423246963533519,0.6663043478260869,0.3705233344246759,0.2771339352107489,8.513385953073284
PC-4,PC,2060,6.887042107097564,6.395261598115449,0.6163991204477035,0.3817422162654047,0.2946025152963543,7.630461261783627
PC-5,PC,3977,6.93828448401696,6.428105272684596,0.6096997690531177,0.42861428997512974,0.3035518228741054,8.28828304520769
PC-6,PC,6890,6.92951677076365,6.479277102067611,0.6499261789401027,0.4798588680378302,0.3479954102190099,8.837826364007704
PRZ1,BTC,8750,7.026426808699636,6.504288173536645,0.5917764869082712,0.5106067814410125,0.36488674862383164,9.07680897935166
PRZ2,BTC,12428,7.193685818395112,6.620073206530356,0.5518142095108387,0.5156736660789241,0.3808312556538658,9.427707270512938
PRZ3,BTC,9117,7.2813856635702825,6.717804695023691,0.5583413693346191,0.44136155424935275,0.33986782562235174,9.117896081584902
PRZ4,BTC,7719,7.050122520269059,6.513230110912307,0.5805763073639274,0.5142568945569312,0.3706636013694924,8.951440100949855
PRZ5,BTC,12944,6.985641817639208,6.525029657843462,0.6290210104827463,0.4989098090835933,0.38393387191136696,9.468387639298273
PRZ6,BTC,8748,7.090076835776092,6.597145701886651,0.6053283022147544,0.5161208221023887,0.3861944846653529,9.076580381796658
