feature_id,feature_index,vst.mean,vst.variance,vst.variance.expected,vst.variance.standardized,vst.variable,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,calibration_variance,calibration_cells
ENSG00000166710,24767,46.56734268080129,879.3966377446923,1054.3999978031381,0.8340256445175701,0,False,B2M,NCBITaxon:9606,gene,750,protein_coding,602.0713,10000
ENSG00000156508,11826,40.89754987242171,993.2212090542195,835.7558764705823,1.1884106794980556,1,False,EEF1A1,NCBITaxon:9606,gene,1866,protein_coding,575.28186,10000
ENSG00000205542,34351,42.49992274047926,1126.550148469067,895.1229789164898,1.2585423176518107,1,False,TMSB4X,NCBITaxon:9606,gene,694,protein_coding,562.7676,10000
ENSG00000244734,18520,0.781819113444998,2449.3404979679644,1.5436380306381001,311.67784072386894,1,False,HBB,NCBITaxon:9606,gene,618,protein_coding,480.50455,10000
ENSG00000132465,8218,1.0313361413633062,447.79721121141705,2.2795306193856915,196.04080795990026,1,False,JCHAIN,NCBITaxon:9606,gene,533,protein_coding,307.2768,10000
ENSG00000133112,22483,20.90144647436385,303.3224785816771,257.9057818375589,1.1760980169515516,1,False,TPT1,NCBITaxon:9606,gene,851,protein_coding,187.76007,10000
ENSG00000075624,12722,11.689591261107557,269.2918561253893,96.53194961427738,2.789665568752,1,False,ACTB,NCBITaxon:9606,gene,1300,protein_coding,145.67596,10000
ENSG00000034510,4211,18.54303835675004,267.2319802295974,210.0723977590589,1.2720946829782964,1,False,TMSB10,NCBITaxon:9606,gene,461,protein_coding,140.27502,10000
ENSG00000115523,4234,5.511590929652204,155.48351644196913,28.42770281376501,5.469436537296371,1,False,GNLY,NCBITaxon:9606,gene,817,protein_coding,127.823364,10000
ENSG00000087086,31444,8.648508410879742,317.58990457611776,58.74931274120014,5.405848847533785,1,False,FTL,NCBITaxon:9606,gene,1467,protein_coding,101.28579,10000
ENSG00000019582,10474,4.976886993739977,202.40989831481846,24.184639416988237,8.369357707780729,1,False,CD74,NCBITaxon:9606,gene,1204,protein_coding,95.71503,10000
ENSG00000167996,19246,7.786316978600314,241.98676293443364,49.515509999869266,4.887090185160512,1,False,FTH1,NCBITaxon:9606,gene,787,protein_coding,90.99943,10000
